time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/value_loss,train/clip_fraction,train/std
79,83.28981595,25280,8.25,26392,0,0.2,2599.339599609375,0.004181385040283203,0.015592581,-0.0018108539368313359,0.0003,780,-10.610060408711433,5208.972519302368,0.1971875039860606,0.9153211116790771
80,66.97532292999999,25600,7.25,26645,0,0.2,3639.9150390625,-0.004696846008300781,0.009335531,-0.010221066296230675,0.0003,790,-10.617592772841453,6543.018938827515,0.18812500378116964,0.9160475730895996
81,65.42318277999999,25920,7.07,26851,0,0.2,5252.09228515625,0.029502928256988525,0.008295523,-0.010477502742246259,0.0003,800,-10.616784599423408,5477.659923553467,0.04843750095460564,0.9151612520217896
82,81.45269708000001,26240,7.82,27013,0,0.2,4708.10009765625,0.010703444480895996,0.012066253,-0.002825768404215978,0.0003,810,-10.602722844481468,6113.520738220215,0.13687500283122062,0.913240909576416
83,93.05189636000001,26560,8.56,27330,0,0.2,4113.03125,-0.014239788055419922,0.013995403,-0.0015506731633422532,0.0003,820,-10.588844466209412,6035.423202514648,0.20437500346451998,0.9115607738494873
84,81.39077928,26880,7.92,27496,0,0.2,4363.69970703125,0.012400567531585693,0.041063234,0.0022308157516647497,0.0003,830,-10.569937291741372,6796.642052078247,0.2068750036880374,0.9094350337982178
85,67.74955875,27200,7.3,27651,0,0.2,2266.763427734375,0.055369794368743896,0.0072054937,-0.0011591433369382287,0.0003,840,-10.565887674689293,5318.229528617859,0.10656250240281225,0.9103009700775146
86,57.19750559000001,27520,6.49,27888,0,0.2,2317.5234375,0.011499345302581787,0.010416688,0.0009288503266589032,0.0003,850,-10.566827756166457,4318.674301147461,0.15468750272411852,0.9104485511779785
87,68.49063317999999,27840,6.92,28151,0,0.2,3618.81591796875,0.04358088970184326,0.015232272,-0.004860126120775021,0.0003,860,-10.567899325489998,6424.403150177002,0.18000000370666386,0.9091309309005737
88,81.58570144000001,28160,7.62,28429,0,0.2,3035.611083984375,-0.00624239444732666,0.030003015,-0.005086978123722474,0.0003,870,-10.554471707344055,5855.29751663208,0.24937500522937625,0.9084047079086304
