rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss,train/std,train/n_updates,train/explained_variance,train/entropy_loss,train/approx_kl
6.97,2865,8640,27,195.36591059,3,0.09875000161118805,0.0003,0.2,17037.921875,39598.596588134766,-0.0020092719770218536,0.9352774620056152,260,0.026613831520080566,-4.056188520789147,0.0077266926
6.18,2937,8960,28,170.40561208999995,3,0.06000000117346645,0.0003,0.2,19748.55078125,32064.6419128418,-0.004483689040864647,0.9333879947662354,270,-0.033930420875549316,-4.053038868308067,0.005783178
6.62,3022,9280,29,184.68875362,3,0.09343750183470548,0.0003,0.2,17064.728515625,36002.278500366214,-0.005346893679666209,0.9286670684814453,280,0.020839691162109375,-4.041746899485588,0.008653
6.48,3168,9600,30,167.48261306999996,3,0.13906250277068466,0.0003,0.2,14786.689453125,26278.987109375,-0.00966104196620563,0.9228751063346863,290,0.01813817024230957,-4.025132873654366,0.007699836
7.19,3280,9920,31,188.32739649999996,3,0.06968750124797225,0.0003,0.2,9064.1806640625,23849.07192993164,-0.0007378173739198246,0.9163627624511719,300,0.025116920471191406,-4.003384570777416,0.005049581
7.66,3362,10240,32,191.58178271,3,0.16281250251922758,0.0003,0.2,7670.33544921875,15980.926391601562,-0.0079461757508966,0.9146935939788818,310,0.06061244010925293,-3.9924484148621557,0.01039673
7.38,3456,10560,33,187.22469815000005,3,0.19093750391621142,0.0003,0.2,19868.4375,23353.18295288086,-0.004093623437120187,0.9128893613815308,320,0.06358611583709717,-3.9860377311706543,0.025684701
6.8,3529,10880,34,183.02649555,3,0.07750000150408595,0.0003,0.2,10698.9091796875,29147.887301635743,-0.0015455796596000938,0.9105753898620605,330,0.05559539794921875,-3.98095321059227,0.0070990943
6.66,3639,11200,35,187.52930261999998,3,0.18843750359956174,0.0003,0.2,7430.9072265625,19976.112670898438,-0.011996838842378565,0.9089433550834656,340,0.11681592464447021,-3.972112035751343,0.009291021
6.91,3745,11520,36,208.74459405000005,3,0.12562500215135514,0.0003,0.2,11230.7958984375,22260.22571105957,0.002510382122932242,0.9107648730278015,350,-0.001125931739807129,-3.9732002303004266,0.004649498
6.92,3891,11840,37,210.84648379999996,3,0.05375000128988176,0.0003,0.2,15807.26953125,30604.22507324219,0.0007010809349776714,0.9072576761245728,360,0.03263425827026367,-3.9707136407494543,0.0054138694
7.0,3963,12160,38,236.23029164,3,0.09843750218860806,0.0003,0.2,21244.15234375,35951.783679199216,-0.004666480096057057,0.9059426784515381,370,0.008100748062133789,-3.9619283989071845,0.008759077
6.73,4091,12480,39,218.49713783000007,3,0.06718750107102096,0.0003,0.2,15612.2412109375,97570.88571777343,-0.0011495556673622787,0.9042388796806335,380,-0.006319522857666016,-3.9570319309830664,0.0053033894
6.77,4163,12800,40,185.22804447999997,3,0.14343750271946193,0.0003,0.2,13224.4267578125,30365.757067871094,-0.0013296913787371523,0.9015247225761414,390,0.004758596420288086,-3.9493066921830176,0.022699222
6.95,4259,13120,41,177.98623487,3,0.11250000186264515,0.0003,0.2,15147.5576171875,21873.83056640625,-0.007250013141538147,0.8999066352844238,400,0.07134383916854858,-3.9408860847353937,0.010940914
7.92,4328,13440,42,219.31282004000002,3,0.08093750125262886,0.0003,0.2,13297.3076171875,21309.354357910157,0.0006753972081526172,0.8946335315704346,410,0.011366724967956543,-3.9316770315170286,0.0059647877
7.82,4416,13760,43,215.04402535999998,3,0.11687500206753612,0.0003,0.2,7785.68017578125,32973.277813720706,-0.010049163599484245,0.8907300233840942,420,0.010830581188201904,-3.916150802373886,0.010974126
7.46,4488,14080,44,214.357098,3,0.07031250135041774,0.0003,0.2,13317.390625,28885.75489501953,-0.005380028762419897,0.8922195434570312,430,-0.00969552993774414,-3.910221754014492,0.004377703
7.78,4613,14400,45,220.58284806,3,0.10468750181607903,0.0003,0.2,13458.005859375,33980.19445800781,-0.007032713892760967,0.8929673433303833,440,0.04870575666427612,-3.9165681526064873,0.0071210535
8.02,4681,14720,46,235.77724870999998,3,0.15812500277534128,0.0003,0.2,13580.3896484375,29014.954180908204,0.002638243568208054,0.8928782343864441,450,-0.029766321182250977,-3.916093444824219,0.007916326
8.42,4749,15040,47,247.88770091000006,3,0.08187500149942935,0.0003,0.2,10608.642578125,27861.012982177734,0.001388636590567671,0.8916613459587097,460,0.036526501178741455,-3.9156312197446823,0.0023396155
7.6,4883,15360,48,225.71766157,3,0.07281250138767063,0.0003,0.2,16432.212890625,39150.4001953125,-0.0019850005586249607,0.8945900201797485,470,0.05880582332611084,-3.9172198310494424,0.006812266
6.56,5052,15680,49,182.88281037000002,3,0.16593750284519046,0.0003,0.2,11653.998046875,25774.94351501465,-0.004441956665971247,0.8956155776977539,480,0.06548672914505005,-3.9215417355298996,0.00744998
6.54,5176,16000,50,187.26500903999997,3,0.17093750280328096,0.0003,0.2,12468.7216796875,22273.33986816406,-0.008310009013575837,0.8957819938659668,490,0.023207902908325195,-3.9248350486159325,0.0112689305
