eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/std,train/n_updates
5.0,3200,177.7458426952362,,,,,,0.0003,0.04067295789718628,-4.016183924674988,-0.024727923413702224,14372.60174407959,0.22500000484287738,3088.920654296875,0.2,0.0220628,0.9238690733909607,790
,3200,,3014,80,150.35079812,3.46,1,,,,,,,,,,,
5.0,3240,260.5445976257324,,,,,,0.0003,0.06438678503036499,-4.0156403362751005,-0.01700654156731616,8117.256541442871,0.33250000793486834,3834.56591796875,0.2,0.021354556,0.9239082336425781,800
,3240,,3073,81,156.11703261,3.59,1,,,,,,,,,,,
2.0,3280,89.25538635253906,,,,,,0.0003,0.1099819540977478,-4.013604670763016,-0.020147724660055245,6314.819192504883,0.16000000331550837,6697.7158203125,0.2,0.0066323387,0.9221117496490479,810
,3280,,3090,82,161.15023706000002,3.64,1,,,,,,,,,,,
2.0,3320,-8.469570875167847,,,,,,0.0003,0.15343564748764038,-4.006257778406143,-0.004309578064639941,4703.043630981445,0.11750000268220902,2944.258056640625,0.2,0.009074708,0.9199125170707703,820
,3320,,3110,83,150.55529095000003,3.6,1,,,,,,,,,,,
5.0,3360,262.83044242858887,,,,,,0.0003,0.08659237623214722,-3.9991520643234253,-0.030110649954658585,6567.403240966797,0.39500000830739734,4471.8662109375,0.2,0.04191985,0.9176091551780701,830
,3360,,3133,84,140.84219116000003,3.52,1,,,,,,,,,,,
3.0,3400,129.2960319519043,,,,,,0.0003,0.01602071523666382,-3.9913830041885374,-0.011800649773640547,7146.876539611816,0.12500000186264515,2108.841796875,0.2,0.008784313,0.9159056544303894,840
,3400,,3156,85,141.38121396,3.51,1,,,,,,,,,,,
5.0,3440,335.9448051452637,,,,,,0.0003,0.08170819282531738,-3.9862186342477797,-0.003580397982459549,15601.803266906738,0.01750000026077032,12251.9130859375,0.2,0.006506141,0.9138178825378418,850
,3440,,3177,86,149.11090220999998,3.53,1,,,,,,,,,,,
3.0,3480,221.5353775024414,,,,,,0.0003,0.08097070455551147,-3.9818038910627367,-0.0009978009133192246,14580.563735961914,0.16750000342726706,7833.9736328125,0.2,0.01311921,0.9137780666351318,860
,3480,,3199,87,148.62756907000002,3.38,1,,,,,,,,,,,
5.0,3520,218.8133316040039,,,,,,0.0003,0.0018901824951171875,-3.9843833833932876,-0.027239156325231308,17281.678771972656,0.16000000275671483,16112.0224609375,0.2,0.016102478,0.9152041673660278,870
,3520,,3217,88,155.13092960000003,3.48,1,,,,,,,,,,,
5.0,3560,355.4612636566162,,,,,,0.0003,0.11577749252319336,-3.984318122267723,7.056150498101488e-05,7050.209585571289,0.2925000064074993,1888.779052734375,0.2,0.008780785,0.9136382341384888,880
,3560,,3238,89,159.18001577,3.53,1,,,,,,,,,,,
4.0,3600,105.44644737243652,,,,,,0.0003,0.0606616735458374,-3.980635777115822,-0.02049557953065233,18523.84344482422,0.17750000357627868,9290.673828125,0.2,0.015835462,0.9136338233947754,890
,3600,,3283,90,164.79531867000003,3.48,1,,,,,,,,,,,
5.0,3640,333.7891654968262,,,,,,0.0003,0.08618128299713135,-3.980222374200821,-0.0026637679249688516,11503.706219482421,0.05500000081956387,8162.923828125,0.2,0.0023867534,0.9122793078422546,900
,3640,,3305,91,169.06467188999994,3.5,1,,,,,,,,,,,
1.0,3680,-5.0,,,,,,0.0003,0.03324007987976074,-3.9734500110149384,-0.018073947442489934,9495.60369567871,0.10500000193715095,9796.634765625,0.2,0.013362388,0.9113849401473999,910
,3680,,3326,92,173.63394315000002,3.51,1,,,,,,,,,,,
5.0,3720,236.03862762451172,,,,,,0.0003,0.057251155376434326,-3.97079019844532,-0.0014175355914630926,13141.090167236329,0.0800000011920929,3495.06787109375,0.2,0.011869155,0.9098114371299744,920
,3720,,3350,93,169.31532065,3.5,1,,,,,,,,,,,
