eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/std,train/approx_kl,train/clip_fraction,train/learning_rate,train/value_loss
5.0,11000,109.02396774291992,,,,,,496.7881774902344,0.016999647741613444,2740,0.2,-2.5034100830554964,0.29375743865966797,0.6159462928771973,0.027832698,0.407500009611249,0.0003,749.5166856765748
,11000,,2,275,88.55460013,5171,4.61,,,,,,,,,,,
5.0,11040,73.14778900146484,,,,,,186.78640747070312,-0.005506215233435796,2750,0.2,-2.49178846180439,0.29037541151046753,0.6151564121246338,0.051984802,0.34500000793486835,0.0003,642.2237628936767
,11040,,2,276,88.45257944000001,5187,4.59,,,,,,,,,,,
5.0,11080,72.32228231430054,,,,,,249.09829711914062,0.002735807884600927,2760,0.2,-2.481996163725853,0.18727892637252808,0.6144601702690125,0.015145503,0.23500000443309546,0.0003,685.4311290740967
,11080,,2,277,87.08741801999999,5204,4.58,,,,,,,,,,,
5.0,11120,90.3801965713501,,,,,,779.2074584960938,0.023966693294933082,2770,0.2,-2.4821740835905075,0.19630157947540283,0.6142624020576477,0.1686821,0.7950000079348684,0.0003,829.3496124267579
,11120,,2,278,87.91779539,5219,4.6,,,,,,,,,,,
5.0,11160,111.90750503540039,,,,,,148.9468994140625,-0.025414124234957834,2780,0.2,-2.4771684050559997,0.47025126218795776,0.6139969229698181,0.010702803,0.24750000592321159,0.0003,581.1189102172851
,11160,,2,279,86.38291949999999,5235,4.54,,,,,,,,,,,
5.0,11200,98.43259620666504,,,,,,457.14556884765625,-0.018491328399795746,2790,0.2,-2.477076855301857,0.11248713731765747,0.6134527921676636,0.059870675,0.28000000678002834,0.0003,1058.0277263641358
,11200,,2,280,86.64048204999997,5251,4.53,,,,,,,,,,,
5.0,11240,93.99549579620361,,,,,,327.3728942871094,-0.014363787661568494,2800,0.2,-2.4742470890283585,0.47311240434646606,0.614737868309021,0.01898666,0.21250000465661287,0.0003,572.4512292385101
,11240,,2,281,87.56314359999999,5267,4.56,,,,,,,,,,,
5.0,11280,95.49234199523926,,,,,,181.5054473876953,-0.013082119447644803,2810,0.2,-2.4727718353271486,0.5472653210163116,0.614922046661377,0.07846995,0.5525000121444463,0.0003,356.74210262298584
,11280,,2,282,87.45595730000002,5283,4.56,,,,,,,,,,,
5.0,11320,117.80354881286621,,,,,,340.9827880859375,-0.0005466963817889692,2820,0.2,-2.4675513356924057,0.3245985507965088,0.6123538017272949,0.018450186,0.2650000058114529,0.0003,644.2616567134858
,11320,,2,283,88.19950265000001,5301,4.58,,,,,,,,,,,
5.0,11360,106.01664018630981,,,,,,156.6070098876953,0.011517946943347967,2830,0.2,-2.460409313440323,0.23119419813156128,0.611618161201477,0.27885976,0.3350000064820051,0.0003,942.0871267318726
,11360,,2,284,88.39298196999998,5317,4.63,,,,,,,,,,,
5.0,11400,82.40346908569336,,,,,,509.3612060546875,0.0012247640078203448,2840,0.2,-2.463380220532417,0.4271088242530823,0.6127883791923523,0.010763277,0.17250000350177289,0.0003,498.40328483581544
,11400,,2,285,88.09663863999998,5334,4.67,,,,,,,,,,,
5.0,11440,96.27326011657715,,,,,,245.98167419433594,-0.06187754622573266,2850,0.2,-2.466737625002861,0.3561851382255554,0.613433837890625,0.06842789,0.5300000090152025,0.0003,693.1354946136474
,11440,,2,286,86.7318317,5350,4.61,,,,,,,,,,,
5.0,11480,76.05035066604614,,,,,,229.6539764404297,-0.007121670579581407,2860,0.2,-2.46600436270237,0.24639874696731567,0.6131480932235718,0.019951388,0.3175000062212348,0.0003,773.6789138793945
,11480,,2,287,88.10160116000002,5365,4.66,,,,,,,,,,,
5.0,11520,70.27578830718994,,,,,,307.09912109375,-0.04250406597639085,2870,0.2,-2.4660353034734728,0.40095704793930054,0.611799418926239,0.0322296,0.3700000088661909,0.0003,588.5823631286621
,11520,,2,288,88.70982893000001,5383,4.65,,,,,,,,,,,
5.0,11560,114.44137382507324,,,,,,292.5732421875,-0.033972591881902194,2880,0.2,-2.4674004167318344,0.44274675846099854,0.6159725785255432,0.008633341,0.3475000072270632,0.0003,603.1906200408936
,11560,,2,289,90.72950548,5399,4.69,,,,,,,,,,,
5.0,11600,110.57599067687988,,,,,,265.6193542480469,-0.01617229954805226,2890,0.2,-2.4729847460985184,0.504919707775116,0.6152661442756653,0.0445837,0.35500000789761543,0.0003,454.8831434249878
,11600,,2,290,89.63729933999998,5415,4.66,,,,,,,,,,,
5.0,11640,110.7164535522461,,,,,,363.436279296875,-0.0212919114009128,2900,0.2,-2.4711367219686506,0.28183192014694214,0.6158077120780945,0.051995873,0.460000011138618,0.0003,734.5278465270997
,11640,,2,291,91.10554522000002,5431,4.73,,,,,,,,,,,
5.0,11680,105.92995166778564,,,,,,162.83290100097656,0.0008059041676460766,2910,0.2,-2.470043870806694,0.4019431471824646,0.6157216429710388,0.0452621,0.2950000068172812,0.0003,579.8982204437256
,11680,,2,292,90.49788035000002,5447,4.68,,,,,,,,,,,
5.0,11720,85.17121505737305,,,,,,202.93051147460938,-0.02445696527225665,2920,0.2,-2.469933143258095,0.19873058795928955,0.615726888179779,0.037036505,0.2800000052899122,0.0003,877.4393238067627
,11720,,2,293,89.77677044999999,5464,4.68,,,,,,,,,,,
5.0,11760,114.55130577087402,,,,,,119.98944854736328,0.010496767723088852,2930,0.2,-2.464876765012741,0.4626043438911438,0.6157678961753845,0.032472536,0.4925000112503767,0.0003,549.7870415925979
,11760,,2,294,89.29007938999999,5479,4.7,,,,,,,,,,,
5.0,11800,124.52974891662598,,,,,,465.6256408691406,-0.017759253197291436,2940,0.2,-2.462691605091095,0.3695829510688782,0.6158325672149658,0.051361814,0.37500000949949025,0.0003,802.9033433914185
,11800,,2,295,88.40460609000003,5496,4.69,,,,,,,,,,,
5.0,11840,101.33310317993164,,,,,,532.6143798828125,-0.022975235072044596,2950,0.2,-2.4623371601104735,0.21873319149017334,0.6170475482940674,0.10269308,0.3350000072270632,0.0003,947.9936754226685
,11840,,2,296,88.75002852,5514,4.61,,,,,,,,,,,
5.0,11880,109.4732666015625,,,,,,119.73492431640625,-0.009494522464628962,2960,0.2,-2.4622221499681474,0.062475740909576416,0.6164921522140503,0.0085443705,0.33500000815838576,0.0003,1148.0921985626221
,11880,,2,297,92.12059710000001,5530,4.69,,,,,,,,,,,
5.0,11920,121.28449821472168,,,,,,109.94485473632812,-0.0015865595485956784,2970,0.2,-2.4642691552639007,0.5464622676372528,0.6177418231964111,0.019573426,0.15250000320374965,0.0003,452.72160482406616
,11920,,2,298,92.77382526000001,5547,4.69,,,,,,,,,,,
5.0,11960,94.19029903411865,,,,,,158.89401245117188,0.026298727051762394,2980,0.2,-2.467384731769562,0.44269824028015137,0.6184204816818237,0.08514371,0.41750000733882187,0.0003,604.0816633224488
,11960,,2,299,92.03847664000001,5562,4.65,,,,,,,,,,,
5.0,12000,115.38164138793945,,,,,,436.1620178222656,-0.02903811742175093,2990,0.2,-2.4673651218414308,0.14591169357299805,0.6186423301696777,0.049072325,0.37500000912696124,0.0003,1010.7043498039245
,12000,,2,300,91.77823316,5579,4.63,,,,,,,,,,,
5.0,12040,105.74539184570312,,,,,,246.2716827392578,-0.00017669457098237195,3000,0.2,-2.471661278605461,0.33750778436660767,0.6188231110572815,0.06985795,0.5600000089034438,0.0003,698.5386477470398
,12040,,2,301,90.68486629,5596,4.6,,,,,,,,,,,
5.0,12080,102.2059679031372,,,,,,668.6456298828125,-0.016204329384490845,3010,0.2,-2.472609868645668,0.09989821910858154,0.6182731986045837,0.041895393,0.24250000454485415,0.0003,1018.4675597429275
,12080,,2,302,89.43156052,5613,4.56,,,,,,,,,,,
5.0,12120,111.30661201477051,,,,,,129.489501953125,-0.014175592258679903,3020,0.2,-2.471679684519768,0.24303436279296875,0.6183165311813354,0.028475028,0.25000000558793545,0.0003,786.643649482727
,12120,,2,303,90.63274088999998,5630,4.6,,,,,,,,,,,
5.0,12160,119.65036964416504,,,,,,100.66047668457031,0.002328091151866829,3030,0.2,-2.4758652657270432,0.5052288174629211,0.620803952217102,0.017941473,0.2125000048428774,0.0003,540.6966068267823
,12160,,2,304,91.49356865,5645,4.63,,,,,,,,,,,
5.0,12200,119.27000045776367,,,,,,374.8089904785156,0.02643416182489091,3040,0.2,-2.480153274536133,0.4289143681526184,0.6218961477279663,0.040939827,0.45500000920146705,0.0003,513.3441096305847
,12200,,2,305,93.53450504000003,5662,4.62,,,,,,,,,,,
4.0,12240,21.323335647583008,,,,,,240.06204223632812,-2.7617502928478645e-05,3050,0.2,-2.480728679895401,0.4805777072906494,0.6222368478775024,0.032436617,0.28250000681728127,0.0003,568.4211318969726
,12240,,2,306,94.00960994000003,5677,4.63,,,,,,,,,,,
5.0,12280,119.58189010620117,,,,,,215.81964111328125,-0.023623870055016594,3060,0.2,-2.474351164698601,0.3435482382774353,0.6209943890571594,0.028102651,0.23500000461935996,0.0003,759.9748567581177
,12280,,2,307,94.97784392000001,5692,4.67,,,,,,,,,,,
5.0,12320,82.19624900817871,,,,,,103.22408294677734,-0.011646040669438662,3070,0.2,-2.4665073215961457,0.27724456787109375,0.6206878423690796,0.017035428,0.1375000024214387,0.0003,871.7683387756348
,12320,,2,308,97.98445695000001,5709,4.75,,,,,,,,,,,
5.0,12360,109.09890174865723,,,,,,285.96929931640625,0.012960527197064952,3080,0.2,-2.464265990257263,0.49153822660446167,0.6194236278533936,0.04359707,0.42500000819563866,0.0003,608.6564263343811
,12360,,2,309,97.44839826000002,5725,4.73,,,,,,,,,,,
5.0,12400,107.94900894165039,,,,,,194.66859436035156,-0.0016765327356188298,3090,0.2,-2.4586634665727614,0.41686010360717773,0.6193177700042725,0.018947208,0.2800000062212348,0.0003,609.5969605445862
,12400,,2,310,98.02015854999999,5742,4.74,,,,,,,,,,,
5.0,12440,94.512375831604,,,,,,304.64501953125,-0.030445177726214755,3100,0.2,-2.455292543768883,0.4773409366607666,0.6196073293685913,0.04603809,0.30500000678002837,0.0003,543.9041977882385
,12440,,2,311,100.50152702999999,5758,4.81,,,,,,,,,,,
5.0,12480,120.16537094116211,,,,,,239.39834594726562,-0.0554642194241751,3110,0.2,-2.4520126283168793,0.4484790563583374,0.6197978258132935,0.08419348,0.5250000106170774,0.0003,542.6770986557007
,12480,,2,312,99.68822645999998,5775,4.76,,,,,,,,,,,
5.0,12520,106.35221481323242,,,,,,1604.2742919921875,-0.009994294158095728,3120,0.2,-2.4465247064828874,0.2329128384590149,0.6185550093650818,0.019122612,0.23750000521540643,0.0003,1032.919054222107
,12520,,2,313,100.7606162,5791,4.78,,,,,,,,,,,
5.0,12560,120.54455757141113,,,,,,1217.890625,-0.007602126429696909,3130,0.2,-2.4416470170021056,0.12538886070251465,0.6195821762084961,0.039111413,0.4200000077486038,0.0003,847.4271236419678
,12560,,2,314,99.9685004,5807,4.75,,,,,,,,,,,
5.0,12600,110.98578834533691,,,,,,370.9136047363281,-0.009391423692522948,3140,0.2,-2.4454430431127547,0.2534610629081726,0.6208012104034424,0.07673167,0.4625000098720193,0.0003,862.8944650650025
,12600,,2,315,98.2904931,5825,4.73,,,,,,,,,,,
5.0,12640,118.64740943908691,,,,,,334.98272705078125,-0.04013713514985284,3150,0.2,-2.4443283677101135,0.4366830587387085,0.6211516857147217,0.030155186,0.5075000118464231,0.0003,739.1907329559326
,12640,,2,316,97.94644767,5841,4.74,,,,,,,,,,,
5.0,12680,98.12804126739502,,,,,,109.89503479003906,-0.03605127001879736,3160,0.2,-2.4474064975976946,0.486588716506958,0.6227347254753113,0.07617195,0.5750000106170774,0.0003,565.1152084350585
,12680,,2,317,93.94555286,5858,4.64,,,,,,,,,,,
5.0,12720,108.522141456604,,,,,,105.6608657836914,-0.038376192015493873,3170,0.2,-2.447449693083763,0.024634599685668945,0.6215872764587402,0.02946986,0.3775000087916851,0.0003,1058.7674543380738
,12720,,2,318,94.32312861,5874,4.63,,,,,,,,,,,
5.0,12760,106.67516899108887,,,,,,676.7212524414062,-0.011166411396116016,3180,0.2,-2.4415310442447664,0.2688826322555542,0.6205117702484131,0.021031616,0.23750000577419997,0.0003,758.6906851768493
,12760,,2,319,94.27735290999999,5891,4.63,,,,,,,,,,,
5.0,12800,107.60346412658691,,,,,,150.7832489013672,-0.016242918366187954,3190,0.2,-2.438685742020607,0.37073594331741333,0.6190841794013977,0.032258175,0.4000000091269612,0.0003,709.3780136108398
,12800,,2,320,93.67007403000001,5908,4.61,,,,,,,,,,,
5.0,12840,102.19467163085938,,,,,,245.4747772216797,-0.008880344454519217,3200,0.2,-2.434545674920082,0.2941622734069824,0.6186981201171875,0.03752901,0.31000000741332767,0.0003,664.0710198402405
,12840,,2,321,90.40132731999998,5925,4.5,,,,,,,,,,,
5.0,12880,94.7021017074585,,,,,,850.4126586914062,-0.026357912526509607,3210,0.2,-2.4317579716444016,0.10718798637390137,0.617766797542572,0.039067626,0.3175000067800283,0.0003,1260.6254146575927
,12880,,2,322,88.84875662999998,5941,4.46,,,,,,,,,,,
5.0,12920,94.67807006835938,,,,,,903.7200927734375,-0.011694694182369857,3220,0.2,-2.428175413608551,0.29619795083999634,0.6176722049713135,0.013770377,0.18250000346451997,0.0003,800.6288900375366
,12920,,2,323,90.71179161999999,5957,4.53,,,,,,,,,,,
5.0,12960,108.301100730896,,,,,,317.6657409667969,-0.03926507059572032,3230,0.2,-2.4233519703149797,0.40156668424606323,0.6156319975852966,0.0228334,0.3750000076368451,0.0003,634.1812860488892
,12960,,2,324,88.94398921000001,5974,4.46,,,,,,,,,,,
5.0,13000,116.00644874572754,,,,,,366.2632141113281,-0.01722713960363762,3240,0.2,-2.4190210044384,0.03371912240982056,0.6157856583595276,0.030641835,0.3075000079348683,0.0003,1175.281060218811
,13000,,2,325,89.36762660000002,5991,4.48,,,,,,,,,,,
5.0,13040,102.01002407073975,,,,,,357.4438171386719,0.017250249424250796,3250,0.2,-2.4219208478927614,0.3214476704597473,0.6161286234855652,0.14667457,0.4075000086799264,0.0003,699.3864629745483
,13040,,2,326,89.83907767999999,6007,4.46,,,,,,,,,,,
5.0,13080,119.36753463745117,,,,,,215.607421875,0.0001884679842623971,3260,0.2,-2.4150646209716795,0.23768508434295654,0.6145802140235901,0.02316796,0.33250000756233933,0.0003,760.8523628234864
,13080,,2,327,89.85110912999998,6022,4.42,,,,,,,,,,,
5.0,13120,109.93157005310059,,,,,,308.2418518066406,-0.010405837632570147,3270,0.2,-2.4039121568202972,0.26046472787857056,0.6124489307403564,0.020671345,0.2100000038743019,0.0003,884.3121836423874
,13120,,2,328,90.01702374999999,6041,4.41,,,,,,,,,,,
5.0,13160,120.73728942871094,,,,,,440.95501708984375,-0.04031205816587313,3280,0.2,-2.3982982724905013,0.09926044940948486,0.612643301486969,0.022465598,0.3525000078603625,0.0003,1277.0413944244385
