eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/std,train/clip_range,train/learning_rate,train/loss,train/approx_kl,,,
156.5188313,2280,5,,,,,,27851.88799,-4.183905244,56,0.006396651,0,0.001523332,0.976248145,0.2,0.0003,474.3493347,2.16E-05,,,
,2280,,2934,0,57,63.81832177,2.33,,,,,,,,,,,,,,
-5,2320,1,,,,,,5353.192368,-4.183797598,57,-0.024595499,0,-0.003305595,0.976230025,0.2,0.0003,2064.353027,0.000101338,,,
,2320,,2960,0,58,66.83516193,2.42,,,,,,,,,,,,,,
202.247045,2360,5,,,,,,10004.47505,-4.183789551,58,-0.018183112,0,0.000891331,0.976226091,0.2,0.0003,7587.582031,0.000639845,,,
,2360,,2992,0,59,68.39199186,2.39,,,,,,,,,,,,,,
95.89873606,2400,5,,,,,,15182.83568,-4.183716357,59,-0.01944077,0,-6.73E-05,0.976202846,0.2,0.0003,8522.731445,0.00019314,,,
,2400,,3028,0,60,71.70432794,2.48,,,,,,,,,,,,,,
173.1277542,2440,3,,,,,,4456.364201,-4.183823109,60,0.004842579,0,0.000253725,0.976323485,0.2,0.0003,375.8845215,3.50E-05,,,
,2440,,3081,0,61,70.24657526,2.46,,,,,,,,,,,,,,
-5,2480,1,,,,,,13640.34253,-4.184207141,61,-0.019679189,0,-6.17E-06,0.97644949,0.2,0.0003,3279.288086,0.000111568,,,
,2480,,3109,0,62,61.86496299,2.39,,,,,,,,,,,,,,
114.9133854,2520,5,,,,,,13720.93938,-4.18449682,62,-0.026513457,0,-0.004676895,0.976518095,0.2,0.0003,11586.44238,0.000272012,,,
,2520,,3134,0,63,64.76672743,2.34,,,,,,,,,,,,,,
256.2958851,2560,5,,,,,,11344.92184,-4.184785545,63,0.004357636,0,0.002485212,0.976635158,0.2,0.0003,2538.876221,9.67E-05,,,
,2560,,3248,0,64,62.82187697,2.3,,,,,,,,,,,,,,
187.8188171,2600,4,,,,,,10898.25153,-4.184970498,64,-0.038355589,0,0.001152552,0.976613939,0.2,0.0003,2120.782959,2.09E-05,,,
,2600,,3275,0,65,58.56169356,2.14,,,,,,,,,,,,,,
157.8977585,2640,5,,,,,,9820.989853,-4.184803307,65,-0.011641145,0,-0.001604442,0.976554573,0.2,0.0003,4436.027832,6.14E-05,,,
,2640,,3305,0,66,62.18339931,2.18,,,,,,,,,,,,,,
253.3241163,2680,5,,,,,,5568.213013,-4.184614956,66,-0.038457632,0,0.002974732,0.976475358,0.2,0.0003,3063.991943,0.001121594,,,
,2680,,3330,0,67,74.71811638,2.33,,,,,,,,,,,,,,
100.3454199,2720,5,,,,,,27355.80276,-4.184412539,67,-0.003255725,0,-0.003572326,0.976428151,0.2,0.0003,17197.65625,0.000300066,,,
,2720,,3356,0,68,72.03020994,2.36,,,,,,,,,,,,,,
55.65517235,2760,5,,,,,,4183.273315,-4.184245169,68,-0.019065738,0,0.001440613,0.976313055,0.2,0.0003,1469.525879,5.90E-05,,,
,2760,,3390,0,69,70.08019335,2.36,,,,,,,,,,,,,,
188.1013718,2800,5,,,,,,7145.740753,-4.183792949,69,-0.012449861,0.050000001,0.014369129,0.976222456,0.2,0.0003,696.1192017,0.00438021,,,
,2800,,3414,0,70,69.58186135,2.35,,,,,,,,,,,,,,
-10,2840,2,,,,,,11796.09773,-4.183668554,70,-0.024683833,0,-0.002898744,0.976229191,0.2,0.0003,1783.494873,0.000217716,,,
,2840,,3439,0,71,70.02384846,2.46,,,,,,,,,,,,,,
-5,2880,1,,,,,,4988.778763,-4.183753908,71,-0.027665377,0,0.0051955,0.976282477,0.2,0.0003,9006.228516,0.000654341,,,
,2880,,3478,0,72,71.8126682,2.55,,,,,,,,,,,,,,
223.3077159,2920,5,,,,,,7460.301117,-4.183808386,72,-0.047026515,0,0.00035845,0.976240158,0.2,0.0003,533.4189453,0.000364393,,,
,2920,,3502,0,73,68.55686592,2.58,,,,,,,,,,,,,,
