eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/approx_kl,train/std,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/n_updates
,,3080,0,4135,77,2.62,98.88021265000002,,,,,,,,,,,
297.0328254699707,5.0,3120,,,,,,8883.113816833496,-0.010341828295495358,0.2,0.07979065179824829,0.021060657,0.9280401468276978,0.25000000521540644,0.0003,10038.5576171875,-4.02082205414772,770
,,3120,0,4157,78,2.8,116.69711566,,,,,,,,,,,
104.8459243774414,5.0,3160,,,,,,13457.845944213866,-0.00556501144077628,0.2,0.07191193103790283,0.028214317,0.927939772605896,0.19750000443309546,0.0003,4443.64306640625,-4.02338690161705,780
,,3160,0,4183,79,2.96,127.21243773,,,,,,,,,,,
96.22769212722778,5.0,3200,,,,,,7113.2004085540775,-0.014583167532110797,0.2,0.10839039087295532,0.0077657606,0.9238020777702332,0.16750000305473806,0.0003,1892.0029296875,-4.015650832653046,790
,,3200,0,4206,80,3.05,127.89202266000001,,,,,,,,,,,
371.3791618347168,5.0,3240,,,,,,8338.256959533692,-0.02448956958163766,0.2,0.15521478652954102,0.033680476,0.9217085838317871,0.1725000036880374,0.0003,1719.4962158203125,-4.00503054857254,800
,,3240,0,4235,81,3.1,124.0260336,,,,,,,,,,,
119.82703018188477,4.0,3280,,,,,,7055.673449707031,-0.02180266757102798,0.2,-0.03172731399536133,0.020927414,0.9184349775314331,0.27750000692904,0.0003,2210.916259765625,-3.9963057368993757,810
,,3280,0,4258,82,3.21,129.29606105999997,,,,,,,,,,,
67.23434638977051,3.0,3320,,,,,,7301.276229095459,-0.009758645633992268,0.2,0.0973973274230957,0.016401868,0.9171197414398193,0.09500000197440386,0.0003,3414.11376953125,-3.9893262892961503,820
,,3320,0,4283,83,3.13,124.31720750000001,,,,,,,,,,,
