time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/std,train/clip_range,train/n_updates
2200,57.15812683105469,5.0,,,,,,0.15000000260770321,-0.003423929214477539,0.0003,-0.02304997327141791,5705.516450500489,2270.414794921875,-4.094619792699814,0.014453694,0.9494681358337402,0.2,540
2200,,,55,0,2.53,2818,86.32180131999999,,,,,,,,,,,
2240,303.11882972717285,5.0,,,,,,0.17500000391155482,0.009970366954803467,0.0003,-0.016193642796715712,11269.397775268555,2271.14990234375,-4.09424569606781,0.015520021,0.9492718577384949,0.2,550
2240,,,56,0,2.57,2847,89.28459971999999,,,,,,,,,,,
2280,-5.0,1.0,,,,,,0.1375000026077032,0.0016649961471557617,0.0003,-0.02129755817761634,9784.065104675294,5104.05029296875,-4.093521910905838,0.016416851,0.9490928053855896,0.2,560
2280,,,57,0,2.7,2882,93.03641891,,,,,,,,,,,
2320,-5.0,1.0,,,,,,0.2700000062584877,0.002828061580657959,0.0003,-0.01822530451456259,6495.3118896484375,1193.9754638671875,-4.093647390604019,0.0150779085,0.9492737054824829,0.2,570
2320,,,58,0,2.7,2908,87.72831541000001,,,,,,,,,,,
2360,-5.0,1.0,,,,,,0.07500000111758709,-0.052040696144104004,0.0003,-0.008490180940207214,9129.51683807373,3703.16552734375,-4.09320028424263,0.018715452,0.9489192962646484,0.2,580
2360,,,59,0,2.69,2936,85.30603882000001,,,,,,,,,,,
2400,158.31796431541443,5.0,,,,,,0.12750000227242708,0.049672067165374756,0.0003,-0.015020565205281855,9233.367226028442,2629.052001953125,-4.091447645425797,0.016387265,0.9484820365905762,0.2,590
2400,,,60,0,2.69,2968,85.22847349000001,,,,,,,,,,,
2440,-5.0,1.0,,,,,,0.08750000167638064,0.0028293728828430176,0.0003,-0.006952940791015871,9831.188320541381,1939.7001953125,-4.089755594730377,0.017049115,0.9476591348648071,0.2,600
2440,,,61,0,2.73,2995,87.04868556,,,,,,,,,,,
2480,49.9467248916626,4.0,,,,,,0.15000000242143868,-0.05713462829589844,0.0003,-0.02257527541398303,7385.404243469238,1008.2540283203125,-4.086928284168243,0.016502423,0.946530818939209,0.2,610
2480,,,62,0,2.77,3068,84.88070171999999,,,,,,,,,,,
2520,247.0204358100891,5.0,,,,,,0.17500000353902578,-0.0849837064743042,0.0003,-0.013814842658175619,4401.959033203125,1784.9927978515625,-4.08372278213501,0.0069250586,0.945919394493103,0.2,620
2520,,,63,0,2.84,3094,90.07700085,,,,,,,,,,,
2560,43.14122772216797,3.0,,,,,,0.1350000023841858,-0.021311044692993164,0.0003,-0.009303295331683347,11504.448556518555,3030.550537109375,-4.084055310487747,0.015176584,0.9468343257904053,0.2,630
2560,,,64,0,2.79,3140,87.12890517,,,,,,,,,,,
