time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,eval/mean_reward,eval/mean_ep_length,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
492,3909,-3.17695126,1.51,1144,0,,,49.02940559387207,1039,3.2335705757141113,0.001
496,3966,-3.52695126,1.58,1157,0,,,14.99569263458252,1055,6.003272771835327,0.001
,,,,1160,,-25.0,5.0,11.859445571899414,1058,7.710640907287598,0.001
500,3976,-2.6613536399999997,1.66,1169,0,,,10.644768142700196,1066,8.45888344446818,0.001
504,3980,0.3801315199999999,1.69,1177,0,,,22.468791961669922,1072,7.333964824676514,0.001
508,3983,0.43013151999999993,1.68,1181,0,,,6456.056640625,1080,3.439612627029419,0.001
512,3988,0.43013151999999993,1.68,1186,0,,,3166.974365234375,1085,2.1129984855651855,0.001
516,3993,0.43013151999999993,1.68,1192,0,,,2627.1181640625,1090,0.8254029154777527,0.001
520,3997,0.43013151999999993,1.68,1196,0,,,66.22698974609375,1095,0.9524636268615723,0.001
,,,,1200,,-5.0,1.0,570.753662109375,1099,0.6109005808830261,0.001
524,4005,0.3801315199999999,1.69,1201,0,,,4092.4658203125,1100,-0.4129650294780731,0.001
528,4010,0.3801315199999999,1.69,1206,0,,,138.78709411621094,1105,-0.7461882829666138,0.001
532,4014,0.3801315199999999,1.69,1211,0,,,861.6544189453125,1110,-1.1457364559173584,0.001
536,4018,0.3301315199999999,1.7,1216,0,,,928.123779296875,1115,-0.27213263511657715,0.001
540,4021,0.3301315199999999,1.7,1220,0,,,80.84616088867188,1119,-0.44097715616226196,0.001
544,4025,0.2801315199999999,1.71,1225,0,,,134.32073974609375,1123,-0.3547689616680145,0.001
548,4029,0.13013151999999992,1.74,1232,0,,,93.5338134765625,1130,0.5579096078872681,0.001
552,4033,0.91112613,1.75,1237,0,,,80.33612823486328,1136,-0.19335560500621796,0.001
,,,,1240,,-5.0,1.0,23.676908493041992,1139,0.09193878620862961,0.001
556,4077,-1.62382314,1.71,1242,0,,,64.45746612548828,1140,-0.6376200914382935,0.001
560,4081,-2.1999219100000005,1.7,1246,0,,,40.33073425292969,1145,0.4431089460849762,0.001
564,4086,-3.23369132,1.71,1252,0,,,25.5640869140625,1151,0.680825412273407,0.001
568,4090,-3.23369132,1.71,1256,0,,,41.717952728271484,1155,1.3337275981903076,0.001
572,4095,-3.2836913200000004,1.72,1261,0,,,26.247736930847168,1160,0.8935860991477966,0.001
576,4099,-3.2119226100000002,1.7,1267,0,,,35.81441688537598,1166,1.0914868116378784,0.001
580,4102,-2.4119226100000004,1.54,1271,0,,,2517.60693359375,1170,1.2325471639633179,0.001
584,4105,-2.0619226100000003,1.47,1275,0,,,10.599157333374023,1174,1.773514747619629,0.001
,,,,1280,,-10.0,2.0,18.127635955810547,1179,1.3019325733184814,0.001
588,4114,-2.0119226100000005,1.46,1281,0,,,,,,
592,4118,-1.7619226100000003,1.41,1285,0,,,21.05019760131836,1184,1.0671781301498413,0.001
596,4121,-1.3119226100000003,1.32,1289,0,,,12.615984916687012,1188,1.6145238876342773,0.001
