time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,eval/mean_reward,train/n_updates,eval/mean_ep_length,train/explained_variance,train/std,train/clip_range,train/entropy_loss
1500,,,,,,5870.540589141846,0.015090019,-0.014449542788420333,0.0003,0.16500000320374966,3852.088134765625,170.94854545593262,180,5.0,0.0797998309135437,0.969521164894104,0.2,-4.1668716877698895
1520,38184,103.66308255999998,19,0,3.6,,,,,,,,,,,,,
1600,,,,,,4503.929467391968,0.022356838,-0.01862089263742746,0.0003,0.21625000452622772,2684.353515625,30.662715911865234,190,3.0,-0.00441431999206543,0.9680562019348145,0.2,-4.1612725257873535
1600,38904,113.52066640999999,20,0,3.74,,,,,,,,,,,,,
1680,39063,116.23213482999999,21,0,3.72,5335.217704772949,0.0111963935,-0.014831577425666181,0.0003,0.10250000171363353,1880.2403564453125,,200,,0.08839660882949829,0.9669999480247498,0.2,-4.1571950823068615
1700,,,,,,5537.776489639282,0.011187004,-0.0063655066878664,0.0003,0.16250000316649676,2137.298583984375,119.03207397460938,210,5.0,0.009293615818023682,0.9660423994064331,0.2,-4.15435602068901
1760,39703,108.25738350999997,22,0,3.65,,,,,,,,,,,,,
1800,,,,,,7397.028372192382,0.008596774,-0.016788890971474756,0.0003,0.14625000273808836,4480.3349609375,39.29004764556885,220,4.0,0.0028448104858398438,0.9636241793632507,0.2,-4.149569615721703
1840,41396,107.01959058,23,0,3.63,,,,,,,,,,,,,
1900,,,,,,5784.924452972412,0.018585801,-0.025216390738823972,0.0003,0.24500000569969416,1660.24755859375,-5.0,230,1.0,0.036542534828186035,0.9621607661247253,0.2,-4.143582606315613
1920,41714,117.79284510999997,24,0,3.72,,,,,,,,,,,,,
2000,,,,,,7265.271864318847,0.032483347,-0.019903895477400502,0.0003,0.2150000048801303,1590.746826171875,186.11752891540527,240,5.0,0.07030749320983887,0.9609031677246094,0.2,-4.1388520210981365
2000,41897,125.07421959999998,25,0,3.81,,,,,,,,,,,,,
2080,42534,133.07616948,26,0,3.95,5592.766566848755,0.020220425,-0.020570239505905176,0.0003,0.268750006146729,4653.755859375,,250,,0.07598209381103516,0.9602726697921753,0.2,-4.136082473397255
2100,,,,,,6946.561652755738,0.019573119,-0.01655602529192038,0.0003,0.1762500036507845,3337.71923828125,212.95641422271729,260,5.0,0.12150126695632935,0.9617282748222351,0.2,-4.137154290080071
2160,42818,141.97628742,27,0,3.97,,,,,,,,,,,,,
2200,,,,,,6596.107626724243,0.014578084,-0.02104568071466929,0.0003,0.1637500031851232,1807.9766845703125,93.62662982940674,270,4.0,0.019681096076965332,0.9620780348777771,0.2,-4.140780735015869
2240,43848,150.77634149000002,28,0,4.0,,,,,,,,,,,,,
2300,,,,,,7129.205248069763,0.0136647,-0.029815118802725936,0.0003,0.27625000607222316,6101.5205078125,179.82982540130615,280,5.0,0.02568918466567993,0.9613825082778931,0.2,-4.13951109945774
2320,44330,140.20334806,29,0,3.86,,,,,,,,,,,,,
2400,,,,,,9354.04748878479,0.023034237,0.012214747711241213,0.0003,0.40375000815838574,4198.89990234375,376.9480857849121,290,5.0,-0.03971731662750244,0.9600102305412292,0.2,-4.136525121331215
2400,45208,145.67357768999997,30,0,3.83,,,,,,,,,,,,,
2480,45356,146.61223094000002,31,0,3.8,8399.776587295531,0.011395882,-0.013127610646372434,0.0003,0.12000000206753611,4348.857421875,,300,,0.059504806995391846,0.9573423266410828,0.2,-4.129841566085815
2500,,,,,,6727.030600738525,0.016669853,-0.010532089964908665,0.0003,0.17000000346452,1656.138427734375,232.89489364624023,310,5.0,0.13579809665679932,0.9544780254364014,0.2,-4.121884667873383
2560,45520,145.08933328999998,32,0,3.79,,,,,,,,,,,,,
2600,,,,,,7227.816438770295,0.014970238,-0.01441006724027829,0.0003,0.18125000344589354,2643.52880859375,141.9261817932129,320,5.0,0.07247662544250488,0.9525240659713745,0.2,-4.113788002729416
2640,46374,151.24408391,33,0,3.88,,,,,,,,,,,,,
2700,,,,,,6603.000435638428,0.015319404,-0.015559649503793483,0.0003,0.15750000309199094,2825.67529296875,206.57479667663574,330,5.0,0.18599051237106323,0.9497585296630859,0.2,-4.10634406208992
2720,46415,156.51963138,34,0,4.01,,,,,,,,,,,,,
2800,,,,,,6688.419401168823,0.025524095,-0.022652439835255788,0.0003,0.3150000056251884,2892.697021484375,386.664608001709,340,5.0,0.08713686466217041,0.9475711584091187,0.2,-4.09802360534668
2800,46450,155.30787536,35,0,3.98,,,,,,,,,,,,,
2880,46600,149.78606385999998,36,0,3.91,8195.386576843262,0.011653716,-0.005308190424493664,0.0003,0.1975000043399632,2822.6162109375,,350,,0.06281626224517822,0.9447678327560425,0.2,-4.0899926096200945
2900,,,,,,8868.53692779541,0.032777198,-0.04751375263113004,0.0003,0.3737500090152025,6503.0205078125,108.96918320655823,360,5.0,-0.009045600891113281,0.9415316581726074,0.2,-4.0799110472202305
2960,46634,159.45238389,37,0,4.03,,,,,,,,,,,,,
3000,,,,,,7021.658890914917,0.006671529,-0.012849766017607178,0.0003,0.06750000100582838,2271.94189453125,-5.0,370,1.0,0.2586447596549988,0.9426593780517578,0.2,-4.077518537640572
3040,46668,162.79750281,38,0,4.03,,,,,,,,,,,,,
3100,,,,,,5891.259698867798,0.019095853,-0.014385105724795722,0.0003,0.24875000528991223,3270.701171875,80.3073501586914,380,5.0,0.16267037391662598,0.9401382207870483,0.2,-4.075881540775299
3120,46713,162.96857269999998,39,0,4.0,,,,,,,,,,,,,
3200,,,,,,6875.226691436767,0.0044106394,-0.014373005945235351,0.0003,0.1900000037625432,3634.297119140625,311.176456451416,390,5.0,0.08260852098464966,0.9352437257766724,0.2,-4.062631618976593
3200,46786,168.02493798000003,40,0,4.04,,,,,,,,,,,,,
3280,46853,177.47261629000002,41,0,4.13,6154.261584091187,0.0045921626,-0.00920518720924519,0.0003,0.12500000223517418,4971.92529296875,,400,,0.25320541858673096,0.9312729835510254,0.2,-4.048539730906486
3300,,,,,,7360.030772781372,0.005697726,-0.00907208523672125,0.0003,0.07125000124797225,3614.848388671875,276.95299530029297,410,5.0,0.15000545978546143,0.9259713888168335,0.2,-4.033123686909676
3360,46885,177.76647508,42,0,4.06,,,,,,,,,,,,,
3400,,,,,,5234.175280380249,0.008374335,-0.0040552661400761305,0.0003,0.24250000454485415,2494.94873046875,267.22941970825195,420,5.0,0.16919761896133423,0.9235116243362427,0.2,-4.022002857923508
3440,47021,180.39482310999995,43,0,4.14,,,,,,,,,,,,,
3500,,,,,,6602.320314788818,0.021977242,-0.006277277181434326,0.0003,0.13125000270083548,2762.809326171875,260.9859275817871,430,5.0,0.07748425006866455,0.9210726618766785,0.2,-4.013161703944206
3520,47059,187.70841051,44,0,4.14,,,,,,,,,,,,,
3600,,,,,,8607.351633453369,0.015300386,-0.009106507508186045,0.0003,0.22875000489875674,3112.375244140625,314.3911361694336,440,5.0,0.0722041130065918,0.9184174537658691,0.2,-4.0057661771774296
3600,47095,186.32376100000002,45,0,4.16,,,,,,,,,,,,,
3680,47123,186.69485428999997,46,0,4.13,8039.145466232299,0.008506857,-0.01714818404913331,0.0003,0.19875000398606063,5158.10888671875,,450,,-0.008831620216369629,0.9151405096054077,0.2,-3.9965621009469032
3700,,,,,,7246.679214477539,0.010681543,-0.00958007608751359,0.0003,0.1375000026077032,1309.070556640625,75.47868728637695,460,5.0,0.2057766318321228,0.9138900637626648,0.2,-3.987810532748699
3760,47162,190.36051753999996,47,0,4.17,,,,,,,,,,,,,
3800,,,,,,6552.718296813965,0.013335859,-0.014664402855669324,0.0003,0.20750000420957804,3460.7822265625,199.36968612670898,470,5.0,0.218819260597229,0.9130927324295044,0.2,-3.983234688639641
3840,47198,185.84876158,48,0,4.14,,,,,,,,,,,,,
3900,,,,,,7143.2307601928715,0.014346167,-0.00874373581814325,0.0003,0.14125000266358256,3274.833251953125,108.14959335327148,480,4.0,0.18839168548583984,0.9080023765563965,0.2,-3.9759769976139068
3920,47235,183.40824754000002,49,0,4.08,,,,,,,,,,,,,
4000,,,,,,8643.138369750977,0.014753738,-0.009252093426293868,0.0003,0.2850000052712858,3118.589599609375,52.39079666137695,490,5.0,0.07700008153915405,0.9053419828414917,0.2,-3.9604317858815192
4000,47303,191.54678499000002,50,0,4.23,,,,,,,,,,,,,
4080,47331,179.99887829000008,51,0,4.1,6202.229643249511,0.030545704,0.008571101646048195,0.0003,0.22125000432133674,6285.2705078125,,500,,0.234513521194458,0.9041123390197754,0.2,-3.9543621867895125
4100,,,,,,6943.995769119263,0.020005833,-0.024775302768794062,0.0003,0.2975000062957406,2498.671875,154.86563682556152,510,5.0,0.08956176042556763,0.9024526476860046,0.2,-3.9481243431568145
4160,47363,184.75315353000002,52,0,4.17,,,,,,,,,,,,,
4200,,,,,,3283.4470222473146,0.035729177,0.041821347363361384,0.0003,0.6637500078417361,2010.97900390625,324.371280670166,520,5.0,0.47231119871139526,0.9041785001754761,0.2,-3.947806729376316
4240,47441,193.57691416,53,0,4.23,,,,,,,,,,,,,
4300,,,,,,6117.6845445632935,0.015715292,-0.006960636002240788,0.0003,0.16750000342726706,819.0604248046875,345.20454025268555,530,5.0,0.31133008003234863,0.9056509733200073,0.2,-3.95505825728178
4320,47477,201.34781098000002,54,0,4.3,,,,,,,,,,,,,
4400,,,,,,6250.0951675415035,0.034612928,-0.02048456347885803,0.0003,0.2737500060349703,853.5511474609375,145.57007884979248,540,5.0,0.27298223972320557,0.9047963619232178,0.2,-3.955588790774345
4400,47539,199.36070989,55,0,4.34,,,,,,,,,,,,,
4480,47564,203.41908150999998,56,0,4.36,7230.584334564209,0.009867924,-0.005782576005694873,0.0003,0.19875000389292835,2751.0712890625,,550,,0.10533714294433594,0.8975147604942322,0.2,-3.941826330125332
4500,,,,,,5409.145806121826,0.01518797,-0.02120305885880782,0.0003,0.2650000063702464,3402.447509765625,250.1218204498291,560,5.0,0.19657951593399048,0.8953980207443237,0.2,-3.927130588889122
4560,47597,201.73654102,57,0,4.4,,,,,,,,,,,,,
4600,,,,,,5132.176887512207,0.06349943,-0.00811788840088411,0.0003,0.26750000603497026,3899.773681640625,194.24904251098633,570,5.0,0.12965065240859985,0.8939708471298218,0.2,-3.9209509208798408
4640,47635,183.18022315000002,58,0,4.23,,,,,,,,,,,,,
4700,,,,,,7615.58609046936,0.010433288,-0.0008042416998614521,0.0003,0.1737500037997961,2304.004638671875,324.5513916015625,580,5.0,-0.023616313934326172,0.8946157693862915,0.2,-3.917968879640102
4720,47748,183.7946089,59,0,4.22,,,,,,,,,,,,,
4800,,,,,,8314.553911972045,0.015801702,-0.017736960165348137,0.0003,0.24250000538304448,1750.6663818359375,179.26811599731445,590,4.0,0.2324543595314026,0.8919922113418579,0.2,-3.913442662358284
4800,47810,185.70148504,60,0,4.19,,,,,,,,,,,,,
4880,47838,183.03790295,61,0,4.11,6675.914096069336,0.02744751,-0.004654198473945148,0.0003,0.2200000043027103,2176.58837890625,,600,,0.1040690541267395,0.891485869884491,0.2,-3.909014619886875
4900,,,,,,6195.932637023926,0.015078833,-0.01947178174126748,0.0003,0.20250000357627868,2616.156494140625,140.90287923812866,610,5.0,0.27603042125701904,0.8890156149864197,0.2,-3.902621625363827
4960,47886,181.24883563,62,0,4.06,,,,,,,,,,,,,
5000,,,,,,7450.149941444397,0.013936601,0.0034049077687996034,0.0003,0.450000009406358,909.9661865234375,98.28307723999023,620,4.0,0.08931708335876465,0.8929961919784546,0.2,-3.906414085626602
5040,47920,195.55020846000002,63,0,4.19,,,,,,,,,,,,,
5100,,,,,,8009.188049316406,0.022473142,-0.02064720279458925,0.0003,0.25875000581145285,6626.41796875,301.26902770996094,630,5.0,0.10620224475860596,0.8918982744216919,0.2,-3.910696657001972
5120,47952,195.35689841000007,64,0,4.21,,,,,,,,,,,,,
5200,,,,,,7724.06212272644,0.009526372,-0.020005855405943296,0.0003,0.12000000197440386,1119.8642578125,89.1856689453125,640,3.0,0.15057265758514404,0.8875852823257446,0.2,-3.8992622405290605
5200,48017,205.11079173,65,0,4.31,,,,,,,,,,,,,
5280,48094,207.50546095999994,66,0,4.32,5951.358778381347,0.02380281,-0.011746068175320945,0.0003,0.26250000558793546,3579.572265625,,650,,0.2922871708869934,0.8831405639648438,0.2,-3.8816587805747984
5300,,,,,,8325.200537872315,0.012245469,-0.007459955253725637,0.0003,0.16625000350177288,1966.5875244140625,356.42989349365234,660,5.0,0.07266020774841309,0.8812613487243652,0.2,-3.8725693255662916
5360,48126,214.36051043,67,0,4.39,,,,,,,,,,,,,
5400,,,,,,5055.624920272827,0.013723365,-0.01016035228425608,0.0003,0.2925000058487058,5185.40869140625,395.5606498718262,670,5.0,0.29506170749664307,0.8834137916564941,0.2,-3.872555474936962
5440,48190,225.63126970000002,68,0,4.45,,,,,,,,,,,,,
5500,,,,,,7444.136231613159,0.030637419,-0.00503036725429411,0.0003,0.35375000750645996,1401.044677734375,272.9786539077759,680,5.0,0.09111523628234863,0.8802987337112427,0.2,-3.8710262328386307
5520,48265,223.45580035999998,69,0,4.42,,,,,,,,,,,,,
5600,,,,,,7283.301982116699,0.025170904,-0.001369045655883383,0.0003,0.34375000819563867,2754.0693359375,265.9003105163574,690,5.0,0.21380960941314697,0.880008339881897,0.2,-3.865926553308964
5600,48390,218.63305515000005,70,0,4.38,,,,,,,,,,,,,
5680,48416,225.42110777000002,71,0,4.44,7839.115564727783,0.01556476,-0.016293231366726103,0.0003,0.1962500039488077,5712.0029296875,,700,,0.17758411169052124,0.876785933971405,0.2,-3.8596762105822564
5700,,,,,,5222.495928001404,0.020441312,-0.0064092370200523885,0.0003,0.19500000374391674,1424.6549072265625,201.4471206665039,710,5.0,0.35189616680145264,0.8758556246757507,0.2,-3.8519092336297036
5760,48448,229.61233798,72,0,4.49,,,,,,,,,,,,,
5800,,,,,,6340.352752494812,0.016528321,-0.010931738182989648,0.0003,0.26375000551342964,3580.479736328125,401.1374206542969,720,5.0,0.28916388750076294,0.8805508613586426,0.2,-3.861007183790207
5840,48481,225.14284897999997,73,0,4.41,,,,,,,,,,,,,
5900,,,,,,7157.867242240905,0.019862715,0.01656304206539062,0.0003,0.38500000797212125,4205.8251953125,76.83291625976562,730,3.0,0.2263241410255432,0.8768234252929688,0.2,-3.8571705281734467
5920,48510,228.98975331000003,74,0,4.41,,,,,,,,,,,,,
6000,,,,,,7930.6010795593265,0.011226222,0.0627852004658962,0.0003,0.36500000497326257,7153.31591796875,270.138729095459,740,5.0,0.10983806848526001,0.8730071783065796,0.2,-3.8470841839909555
6000,48589,241.73319077000005,75,0,4.52,,,,,,,,,,,,,
6080,48613,244.27190412000004,76,0,4.52,4259.476934051514,0.0047238795,-0.002670421935908962,0.0003,0.08875000178813934,1148.7801513671875,,750,,0.5126617550849915,0.8697037696838379,0.2,-3.833394668996334
6100,,,,,,5837.003504180908,0.011822339,-0.0010346851850408733,0.0003,0.15500000305473804,6697.80517578125,273.87902069091797,760,5.0,0.30230027437210083,0.8644843101501465,0.2,-3.820068861544132
6160,48643,239.81179145000004,77,0,4.45,,,,,,,,,,,,,
6200,,,,,,6056.414199829102,0.07940449,0.0067287875338661205,0.0003,0.16875000316649674,2799.70458984375,326.990535736084,770,5.0,0.34600359201431274,0.8616582155227661,0.2,-3.8067130729556085
6240,48672,247.60247583999998,78,0,4.51,,,,,,,,,,,,,
6300,,,,,,4606.560944747925,0.01504808,-0.014061600910354178,0.0003,0.196250004414469,6398.86376953125,261.9026679992676,780,5.0,0.4340224862098694,0.8611718416213989,0.2,-3.7985629841685293
6320,48754,254.21324043999996,79,0,4.59,,,,,,,,,,,,,
6400,,,,,,5803.667393779755,0.01353156,-0.0007914596096179588,0.0003,0.18625000417232512,4303.86474609375,337.6854667663574,790,5.0,0.391244113445282,0.8582134246826172,0.2,-3.795492482185364
6400,48787,260.39331322,80,0,4.72,,,,,,,,,,,,,
6480,48814,248.71296734,81,0,4.68,5109.521558380127,0.33523557,0.034251081684276416,0.0003,0.2850000040605664,1774.623046875,,800,,0.41163283586502075,0.8584598898887634,0.2,-3.7859683290123938
6500,,,,,,6961.621313095093,0.025879191,-0.0061979390629403495,0.0003,0.18000000342726707,1668.141845703125,296.7040710449219,810,5.0,0.22697830200195312,0.8575724363327026,0.2,-3.7873638913035395
6560,48898,241.58340092000003,82,0,4.64,,,,,,,,,,,,,
6600,,,,,,5309.337936019898,0.012442097,-0.008879532481005297,0.0003,0.11375000178813935,1490.387451171875,83.23945236206055,820,4.0,0.30302631855010986,0.8550320863723755,0.2,-3.7811537250876426
6640,48928,236.42009553000003,83,0,4.64,,,,,,,,,,,,,
6700,,,,,,5186.121743440628,0.018669516,-0.0035704669512802044,0.0003,0.1675000033341348,3273.853759765625,237.0989055633545,830,5.0,0.3154609203338623,0.8557230830192566,0.2,-3.7769069209694863
6720,48991,227.91497037999997,84,0,4.63,,,,,,,,,,,,,
6800,,,,,,3477.661203670502,0.13071719,0.01619567992027442,0.0003,0.26750000584870576,1014.6132202148438,275.50370025634766,840,5.0,0.4300652742385864,0.8604003190994263,0.2,-3.783715172111988
6800,49021,219.26912756,85,0,4.59,,,,,,,,,,,,,
6880,49095,223.53321628999998,86,0,4.61,6044.275059223175,0.0036544227,0.006885436586180732,0.0003,0.15625000316649676,5764.24365234375,,850,,0.21961283683776855,0.8599898815155029,0.2,-3.7922969192266462
6900,,,,,,6604.482327270508,0.029519396,-0.006646577334613557,0.0003,0.16750000324100256,4274.986328125,308.7316436767578,860,5.0,0.20992958545684814,0.8561234474182129,0.2,-3.78676695227623
6960,49152,224.79499818999997,87,0,4.63,,,,,,,,,,,,,
7000,,,,,,3058.4876207351685,0.015003618,-0.00751766145331203,0.0003,0.2975000059232116,1030.976318359375,255.02174377441406,870,5.0,0.41357600688934326,0.8559061884880066,0.2,-3.779562363028526
7040,49234,231.23678984999998,88,0,4.72,,,,,,,,,,,,,
7100,,,,,,2999.1718808174132,0.028312143,-0.007330897665406155,0.0003,0.18875000327825547,1497.915283203125,316.3730125427246,880,5.0,0.5622204542160034,0.8513244986534119,0.2,-3.768887583911419
7120,49315,237.40828623,89,0,4.75,,,,,,,,,,,,,
7200,,,,,,5403.147057723999,0.020745184,-0.008959959212443209,0.0003,0.25000000558793545,2325.69287109375,306.83151626586914,890,5.0,0.23730158805847168,0.8518534898757935,0.2,-3.7637721210718156
7200,49393,243.09840523,90,0,4.69,,,,,,,,,,,,,
7280,49417,251.19395542000007,91,0,4.71,6292.769816970826,0.0035684882,-0.008761221012337044,0.0003,0.14125000294297935,2578.220458984375,,900,,0.2994195818901062,0.8452765345573425,0.2,-3.7547338604927063
7300,,,,,,4535.92412109375,0.007293665,-0.008545680565148362,0.0003,0.14375000251457096,532.288330078125,212.7156162261963,910,5.0,0.46615439653396606,0.844829261302948,0.2,-3.737247642874718
7360,49446,248.30215513999997,92,0,4.7,,,,,,,,,,,,,
7400,,,,,,5978.1908644676205,0.01339774,-0.02011011531529107,0.0003,0.23625000491738318,3823.550537109375,81.66770267486572,920,5.0,0.21795982122421265,0.8462750911712646,0.2,-3.741558612883091
7440,49477,248.51341268,93,0,4.7,,,,,,,,,,,,,
7500,,,,,,3595.446315383911,0.07539804,0.0035092652025923597,0.0003,0.3012500065378845,2964.2314453125,370.7485046386719,930,5.0,0.40193653106689453,0.8461574912071228,0.2,-3.7439548909664153
7520,49512,248.39512493000007,94,0,4.67,,,,,,,,,,,,,
7600,,,,,,2900.6028089523315,0.01497028,-0.017781428873349797,0.0003,0.28125000530853866,2003.34228515625,267.5876274108887,940,5.0,0.5944975912570953,0.8364314436912537,0.2,-3.726892624795437
7600,49543,257.13021795000003,95,0,4.73,,,,,,,,,,,,,
7680,49567,255.60768521999998,96,0,4.8,2435.458003234863,0.010959415,-0.024294862291790197,0.0003,0.2962500059045851,707.4055786132812,,950,,0.6561229526996613,0.834884762763977,0.2,-3.7048678055405615
7700,,,,,,3135.2104738235475,0.006805619,0.00030032828894036576,0.0003,0.24000000562518836,914.4826049804688,163.187518119812,960,5.0,0.47048354148864746,0.8310832381248474,0.2,-3.694525642693043
7760,49637,246.54158155999997,97,0,4.76,,,,,,,,,,,,,
7800,,,,,,5370.241688156128,0.0055615986,-0.0009189845667788188,0.0003,0.1425000024959445,594.6851806640625,249.3723373413086,970,5.0,0.19321227073669434,0.8297545313835144,0.2,-3.686286875605583
7840,49704,247.14911176,98,0,4.72,,,,,,,,,,,,,
7900,,,,,,8007.959792900086,0.024482708,0.00708621312611285,0.0003,0.15500000286847354,6186.57958984375,88.87457203865051,980,5.0,0.08347904682159424,0.832145094871521,0.2,-3.687223082780838
7920,49787,245.60402797999998,99,0,4.66,,,,,,,,,,,,,
8000,,,,,,6420.700838088989,0.026220689,-0.009241522367165089,0.0003,0.27125000637024643,1798.45263671875,274.14211654663086,990,5.0,0.15656548738479614,0.8293436765670776,0.2,-3.6895182698965074
8000,49863,242.30647579,100,0,4.62,,,,,,,,,,,,,
