eval/mean_reward,time/total_timesteps,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/std,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/entropy_loss
272.0599594116211,5000,5.0,,,,,,0.8795212507247925,0.029327516,0.2,1240,0.0003,4051.865399169922,-0.011744723790907297,0.17250000312924385,3609.57861328125,0.11717146635055542,-3.8541146397590635
,5000,,3.32,0,125,5194,120.67939747999998,,,,,,,,,,,
16.500965118408203,5040,2.0,,,,,,0.8794169425964355,0.030811228,0.2,1250,0.0003,6451.451799011231,-0.025030446124146687,0.36000000815838573,2905.919677734375,-0.01673150062561035,-3.8428019016981123
,5040,,3.35,0,126,5214,134.38001524,,,,,,,,,,,
283.36951065063477,5080,5.0,,,,,,0.8786890506744385,0.01971377,0.2,1260,0.0003,33858.5387512207,-0.02818509688004269,0.1350000027567148,21836.216796875,-0.06301391124725342,-3.8424548864364625
,5080,,3.46,0,127,5233,136.19035935999997,,,,,,,,,,,
-5.0,5120,1.0,,,,,,0.8800086379051208,0.034026437,0.2,1270,0.0003,5234.278263854981,-0.02621498003134548,0.42250001020729544,4176.9189453125,0.1218409538269043,-3.8457949817180634
,5120,,3.48,0,128,5251,137.54289686,,,,,,,,,,,
97.7917890548706,5160,5.0,,,,,,0.8834991455078125,0.037170917,0.2,1280,0.0003,6576.562841796875,-0.035985043048858634,0.27750000581145284,5044.05322265625,0.06439024209976196,-3.8498494803905485
,5160,,3.45,0,129,5271,137.44220622,,,,,,,,,,,
300.88290786743164,5200,5.0,,,,,,0.8831068277359009,0.029572278,0.2,1290,0.0003,13415.957086181641,-0.0376623022599051,0.3350000087171793,4204.12451171875,-0.02008354663848877,-3.8551099449396133
,5200,,3.61,0,130,5289,144.62299935,,,,,,,,,,,
254.45565795898438,5240,4.0,,,,,,0.8809527158737183,0.06555396,0.2,1300,0.0003,10045.407105636597,-0.017894275719008874,0.2300000037997961,2712.942138671875,0.11795991659164429,-3.850412482023239
,5240,,3.66,0,131,5307,146.35310728,,,,,,,,,,,
182.53744888305664,5280,5.0,,,,,,0.8778306245803833,0.035324417,0.2,1310,0.0003,5712.765985870361,-0.03652440372583441,0.3825000077486038,1191.0316162109375,0.17918771505355835,-3.841377907991409
,5280,,3.62,0,132,5340,151.67694492,,,,,,,,,,,
734.6592559814453,5320,5.0,,,,,,0.8752460479736328,0.02206394,0.2,1320,0.0003,16524.001495361328,-0.028718106778396757,0.26500000562518833,5805.833984375,0.03395897150039673,-3.831356793642044
,5320,,3.73,0,133,5362,167.12482355,,,,,,,,,,,
314.03955841064453,5360,5.0,,,,,,0.8774495124816895,0.014910141,0.2,1330,0.0003,13547.498482513427,-0.018009594456752896,0.10750000178813934,5050.59765625,0.20991861820220947,-3.828658738732338
,5360,,3.8,0,134,5380,177.98609259,,,,,,,,,,,
95.46923828125,5400,2.0,,,,,,0.8770501613616943,0.008926662,0.2,1340,0.0003,7977.574464416504,-0.01496835963342164,0.2700000062584877,4566.4912109375,0.10179328918457031,-3.8321608304977417
,5400,,3.87,0,135,5400,183.00880454000003,,,,,,,,,,,
584.3604888916016,5440,5.0,,,,,,0.8754940032958984,0.00767076,0.2,1350,0.0003,11020.320797729491,-0.0072802250018867195,0.09750000145286322,3602.45849609375,0.04295831918716431,-3.8298285722732546
,5440,,3.92,1,136,5419,181.47119188,,,,,,,,,,,
475.78849029541016,5480,5.0,,,,,,0.875236451625824,0.014175643,0.2,1360,0.0003,28578.19469909668,-0.00955888205528026,0.16750000398606063,5938.49658203125,0.008423149585723877,-3.8254398584365843
,5480,,3.83,1,137,5441,193.80296191000002,,,,,,,,,,,
219.85693645477295,5520,5.0,,,,,,0.8749353289604187,0.028969683,0.2,1370,0.0003,15005.922023010255,0.017115908553932968,0.4525000093504786,2829.892578125,0.05077648162841797,-3.8255595803260802
,5520,,3.79,1,138,5460,188.12910565,,,,,,,,,,,
139.79487991333008,5560,4.0,,,,,,0.8763057589530945,0.03018821,0.2,1380,0.0003,6928.891181945801,-0.03950944344736853,0.33750000670552255,3033.7138671875,0.16008394956588745,-3.8263962864875793
,5560,,3.83,1,139,5480,187.80514097000002,,,,,,,,,,,
411.81733322143555,5600,5.0,,,,,,0.8775590658187866,0.055271912,0.2,1390,0.0003,5053.371079826355,-0.008001510552858238,0.495000009983778,2612.269775390625,0.11623632907867432,-3.828935107588768
,5600,,3.82,1,140,5514,192.50505217999998,,,,,,,,,,,
143.66125965118408,5640,5.0,,,,,,0.8771377801895142,0.0049255686,0.2,1400,0.0003,8257.168140411377,-0.016775353729026388,0.1775000037625432,800.5452270507812,0.1323191523551941,-3.832617861032486
,5640,,3.87,1,141,5531,197.7916866,,,,,,,,,,,
283.9908809661865,5680,5.0,,,,,,0.8730458617210388,0.014120144,0.2,1410,0.0003,12659.592044830322,-0.01417626530934285,0.30750000681728124,2350.271484375,0.16754132509231567,-3.8216182440519333
,5680,,3.92,1,142,5549,194.82249413000002,,,,,,,,,,,
264.9939308166504,5720,5.0,,,,,,0.8736323118209839,0.015091181,0.2,1420,0.0003,5933.46257019043,-0.008379058925056592,0.21750000454485416,2211.688720703125,0.17002332210540771,-3.8116467505693437
,5720,,3.74,1,143,5572,174.85602473999998,,,,,,,,,,,
195.61272430419922,5760,3.0,,,,,,0.8686298131942749,0.013660401,0.2,1430,0.0003,7242.782299804688,0.00013347549574973527,0.057500000856816766,3719.313720703125,0.11741262674331665,-3.8057680308818815
,5760,,3.67,1,144,5594,172.51638892,,,,,,,,,,,
212.3646354675293,5800,4.0,,,,,,0.8697964549064636,0.0076192524,0.2,1440,0.0003,11732.591473388671,-0.012602400438772744,0.1375000026077032,9439.0,-0.0896843671798706,-3.796609863638878
,5800,,3.64,1,145,5615,167.37663921,,,,,,,,,,,
85.6677474975586,5840,2.0,,,,,,0.8688125014305115,0.02997169,0.2,1450,0.0003,5613.700974273682,-0.03625063040934038,0.3475000074133277,4205.3017578125,0.10520172119140625,-3.798165825009346
,5840,,3.67,1,146,5633,164.59191519,,,,,,,,,,,
88.2566909790039,5880,2.0,,,,,,0.8679246306419373,0.016154954,0.2,1460,0.0003,14449.573843383789,-0.00686478358635213,0.12500000186264515,3178.0791015625,0.11161220073699951,-3.7919114381074905
,5880,,3.69,1,147,5655,174.15782854,,,,,,,,,,,
469.9660987854004,5920,5.0,,,,,,0.8674566745758057,0.042760774,0.2,1470,0.0003,11645.338864135741,-0.06596525305474643,0.4300000095739961,8469.2333984375,0.0950738787651062,-3.790271669626236
,5920,,3.72,1,148,5674,183.29418079000004,,,,,,,,,,,
58.67108154296875,5960,3.0,,,,,,0.8677284121513367,0.005296685,0.2,1480,0.0003,17627.739978027344,-0.0006677576369293114,0.027500000409781934,13903.8427734375,0.1215469241142273,-3.7896881073713304
,5960,,3.63,1,149,5699,184.72685427,,,,,,,,,,,
213.17801666259766,6000,3.0,,,,,,0.8667166233062744,0.0253788,0.2,1490,0.0003,16276.579969406128,-0.0046615035259310435,0.1875000037252903,6528.6865234375,-0.07193410396575928,-3.7891360014677047
,6000,,3.5,1,150,5718,176.75189639,,,,,,,,,,,
65.11289119720459,6040,3.0,,,,,,0.8653459548950195,0.015535599,0.2,1500,0.0003,15146.889459228516,-0.012616422009596118,0.12750000208616258,4400.99853515625,-0.04047262668609619,-3.784137237071991
,6040,,3.5,1,151,5789,187.99664577000004,,,,,,,,,,,
