time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/std,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
2770,277,2765,59.02328599,2.31,1,0.9643572568893433,276,0.2,9921.4755859375,-4.1471357345581055,0.023390650749206543,0.0033058464992792302,0.0,4862.60986328125,0.0003,1.7493963e-05,,
2780,278,2772,56.93539817,2.27,1,0.9642974734306335,277,0.2,15183.08642578125,-4.146919012069702,0.00480574369430542,-0.0006653547170571983,0.0,8247.841796875,0.0003,7.8499315e-06,,
2790,279,2778,60.138623679999995,2.25,1,0.9642450213432312,278,0.2,19751.7724609375,-4.146735191345215,-0.023450016975402832,-0.0002762913820335555,0.0,11990.892578125,0.0003,2.3901464e-06,,
2800,,,,,,0.9641973376274109,279,0.2,2369.08642578125,-4.146581172943115,-0.05868983268737793,0.0009730279678485942,0.0,929.6617431640625,0.0003,5.3286553e-06,61.801300048828125,2.0
2800,280,2825,59.42624690999999,2.25,0,,,,,,,,,,,,,
2810,281,2829,57.43452441,2.24,0,0.9641627073287964,280,0.2,687.3733825683594,-4.146435260772705,0.011568665504455566,0.0002585530222845023,0.0,406.76715087890625,0.0003,1.4901161e-07,,
2820,282,2836,59.771164119999995,2.21,0,0.9641447067260742,281,0.2,4653.061279296875,-4.146348714828491,-0.06109011173248291,-1.8560887110830038e-05,0.0,2078.704833984375,0.0003,2.3841858e-07,,
2830,283,2946,60.55061296000001,2.24,0,0.9641262888908386,282,0.2,24092.71044921875,-4.146296739578247,0.00464862585067749,-0.0002569377422325658,0.0,4447.1962890625,0.0003,5.722046e-07,,
2840,,,,,,0.9640969038009644,283,0.2,561.4059448242188,-4.146228551864624,0.012129426002502441,0.0022165061440322376,0.0,280.3245849609375,0.0003,2.3823977e-05,-5.0,1.0
2840,284,2956,59.54459306,2.22,0,,,,,,,,,,,,,
2850,285,2961,59.05894606000001,2.23,0,0.9640681147575378,284,0.2,3257.5079345703125,-4.146141529083252,-0.015378594398498535,-0.0008860588422976434,0.0,831.2048950195312,0.0003,2.0861626e-06,,
2860,286,2966,55.58261603999999,2.21,0,0.96403968334198,285,0.2,874.3766174316406,-4.146058797836304,-0.07034993171691895,-0.0010815859539432537,0.0,320.2686767578125,0.0003,3.629923e-06,,
2870,287,2972,60.557735519999994,2.24,0,0.9640053510665894,286,0.2,669.0176696777344,-4.1459574699401855,-0.23021745681762695,0.00028809308423660696,0.0,349.48016357421875,0.0003,1.1569262e-05,,
2880,,,,,,0.9639785289764404,287,0.2,53096.58203125,-4.1458516120910645,-0.0061528682708740234,-0.0020713360048851825,0.0,11394.76953125,0.0003,1.9085408e-05,-10.0,2.0
2880,288,2983,54.653926500000004,2.21,0,,,,,,,,,,,,,
2890,289,2988,60.21190183000001,2.26,0,0.9639353156089783,288,0.2,2773.5487060546875,-4.145761013031006,-0.0023546218872070312,-0.0015234649181365967,0.0,561.05224609375,0.0003,1.8054247e-05,,
2900,290,2992,50.61254849,2.2,0,0.9638906717300415,289,0.2,41361.169921875,-4.145617485046387,-0.023969173431396484,0.0008102715248243797,0.0,15620.23046875,0.0003,1.33037565e-05,,
2910,291,2996,50.52873389999999,2.23,0,0.9638418555259705,290,0.2,4667.335693359375,-4.145474910736084,-0.022468924522399902,-0.0004629135190041822,0.0,2104.281005859375,0.0003,9.948016e-06,,
2920,,,,,,0.9637974500656128,291,0.2,1168.9861450195312,-4.145321846008301,0.025112450122833252,-0.0022866310086100405,0.0,256.916015625,0.0003,1.92523e-05,-7.411621570587158,2.0
2920,292,3054,52.04774305999999,2.19,0,,,,,,,,,,,,,
2930,293,3061,52.15044334,2.19,0,0.9637709856033325,292,0.2,1703.4997253417969,-4.145197629928589,-0.026221871376037598,0.0016421914333477616,0.0,1428.084716796875,0.0003,4.2796137e-06,,
2940,294,3066,52.44917802,2.23,0,0.9637278914451599,293,0.2,1620.9966735839844,-4.145098447799683,-0.024749159812927246,-0.0025387018453333354,0.0,330.0805969238281,0.0003,5.3656102e-05,,
2950,295,3071,51.050769620000004,2.2,0,0.963671088218689,294,0.2,1538.5487060546875,-4.1449666023254395,-0.05312502384185791,0.0021577836014330387,0.0,1156.9130859375,0.0003,1.898408e-05,,
2960,,,,,,0.9636099338531494,295,0.2,588.3359222412109,-4.144774436950684,-0.011863946914672852,9.938478906423853e-05,0.0,336.2818298339844,0.0003,1.7726421e-05,69.6303482055664,5.0
2960,296,3085,54.143539770000004,2.21,0,,,,,,,,,,,,,
2970,297,3120,52.052332459999995,2.17,0,0.9635605812072754,296,0.2,39737.1728515625,-4.144593954086304,-0.028269529342651367,0.0029600263573228425,0.0,25006.447265625,0.0003,1.9544363e-05,,
2980,298,3123,54.76154855000001,2.2,0,0.9635175466537476,297,0.2,2499.9091796875,-4.1444411277771,-0.00732731819152832,0.0010830312967300415,0.0,1638.577392578125,0.0003,2.4676324e-06,,
