time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/n_updates,train/learning_rate,train/actor_loss
0,17.689946659999997,5169,804,2205,2.64,776.4580891927084,2101,0.001,-13.326794624328613
0,18.66064887,5188,808,2216,2.65,972.6775207519531,2111,0.001,-13.637167930603027
0,18.964242709999997,5206,812,2227,2.67,1008.0506896972656,2123,0.001,-13.457077026367188
0,20.02492139,5228,816,2239,2.69,912.6295776367188,2136,0.001,-13.338551998138428
0,19.39891454,5245,820,2249,2.67,762.4313354492188,2148,0.001,-14.093992233276367
0,19.164493130000004,5265,824,2260,2.69,877.7632039388021,2157,0.001,-14.3115873336792
0,19.341406290000002,5578,828,2270,2.69,850.8733520507812,2166,0.001,-14.475908279418945
0,19.12675327,5596,832,2281,2.67,808.485107421875,2178,0.001,-13.42276668548584
0,18.743686190000002,5614,836,2292,2.66,906.33642578125,2188,0.001,-13.305968284606934
0,19.68627672,5636,840,2304,2.69,866.4542439778646,2201,0.001,-13.405684471130371
0,18.90459407,5650,844,2313,2.68,874.3760986328125,2210,0.001,-14.027270317077637
0,19.115814110000002,5671,848,2325,2.7,842.2142130533854,2221,0.001,-14.692488670349121
0,18.69351713,5681,852,2333,2.7,812.6372477213541,2232,0.001,-15.733030796051025
0,19.493351790000002,5695,856,2342,2.72,847.5439453125,2241,0.001,-16.415449142456055
0,19.143839510000003,5707,860,2350,2.7,596.2747802734375,2247,0.001,-16.39531135559082
0,18.64494764,5726,864,2362,2.67,823.4914143880209,2258,0.001,-15.90144681930542
0,18.901111270000005,5743,868,2371,2.66,909.4562072753906,2268,0.001,-15.769888401031494
0,17.946763720000003,5751,872,2377,2.61,527.13232421875,2276,0.001,-15.346007347106934
0,17.64188795,5768,876,2386,2.6,700.7669372558594,2284,0.001,-14.674105644226074
0,17.94119616,5790,880,2399,2.62,816.2606608072916,2296,0.001,-14.233416557312012
0,18.33033023,5809,884,2411,2.61,879.0545196533203,2308,0.001,-13.272429466247559
0,17.644375399999998,5820,888,2419,2.58,1068.859619140625,2318,0.001,-12.53439712524414
0,18.36342129,5837,892,2430,2.6,805.5533142089844,2327,0.001,-13.629425048828125
0,17.946540700000003,5853,896,2440,2.61,711.5062866210938,2338,0.001,-14.207606792449951
0,18.29159265,6018,900,2453,2.6,781.7311889648438,2349,0.001,-14.104365348815918
0,18.32176155,6037,904,2465,2.6,779.78466796875,2363,0.001,-14.746943473815918
0,17.45593354,6052,908,2474,2.58,819.9731648763021,2372,0.001,-14.58511209487915
0,16.98062956,6061,912,2482,2.55,753.8987019856771,2381,0.001,-13.623849868774414
0,15.461964,6072,916,2491,2.52,789.3210652669271,2388,0.001,-12.655025959014893
0,15.700512500000002,6083,920,2500,2.51,905.5489501953125,2398,0.001,-11.976141929626465
0,15.851957319999999,6093,924,2509,2.49,808.3456827799479,2408,0.001,-12.697623252868652
0,16.27330117,6121,928,2523,2.53,829.64111328125,2419,0.001,-13.461964130401611
0,15.714309949999999,6142,932,2534,2.53,838.8026936848959,2431,0.001,-15.22026252746582
0,16.597438849999996,6167,936,2546,2.54,928.9007720947266,2443,0.001,-15.490347862243652
0,16.4841439,6194,940,2558,2.54,730.6288655598959,2454,0.001,-15.385094165802002
0,16.41639242,6215,944,2568,2.55,1024.2843424479167,2466,0.001,-14.799056053161621
0,16.030198770000002,6227,948,2575,2.5,827.9785766601562,2474,0.001,-15.068264961242676
0,16.64715944,6407,952,2587,2.54,788.2523193359375,2485,0.001,-14.5277681350708
0,16.83988426,6429,956,2599,2.57,997.7799987792969,2495,0.001,-14.720221519470215
0,17.73044881,6468,960,2611,2.61,889.7211507161459,2508,0.001,-14.82670259475708
0,17.20334798,6484,964,2622,2.6,868.0187072753906,2520,0.001,-16.143725395202637
0,17.484487939999998,6504,968,2636,2.65,817.6026763916016,2532,0.001,-16.07644271850586
0,17.988635620000004,6516,972,2645,2.68,1022.5343322753906,2542,0.001,-14.762100219726562
0,18.355533620000003,6534,976,2655,2.69,682.0050048828125,2554,0.001,-14.099397659301758
0,16.96113985,6548,980,2663,2.64,907.024658203125,2559,0.001,-14.286391258239746
0,16.987657779999996,6578,984,2677,2.66,750.3548583984375,2574,0.001,-14.350650310516357
0,17.92454154,6600,988,2688,2.69,896.0692138671875,2586,0.001,-14.855486392974854
0,18.508708610000003,7268,992,2699,2.69,938.1097412109375,2595,0.001,-15.153103828430176
0,19.333412029999998,7293,996,2710,2.7,869.2128499348959,2609,0.001,-16.01140022277832
0,18.54899078,7319,1000,2721,2.68,896.4284057617188,2618,0.001,-15.454378128051758
0,17.274954289999997,7328,1004,2727,2.62,764.7490234375,2625,0.001,-14.461560249328613
0,17.21537696,7347,1008,2736,2.62,820.1166534423828,2634,0.001,-14.662537097930908
0,17.41264373,7541,1012,2744,2.62,877.7506713867188,2641,0.001,-14.685528755187988
0,17.553608399999998,7556,1016,2753,2.62,939.1885070800781,2650,0.001,-14.363372802734375
0,16.98229075,7570,1020,2762,2.62,918.76806640625,2660,0.001,-15.726519584655762
0,16.8863953,7581,1024,2770,2.61,960.8798217773438,2667,0.001,-16.12476348876953
0,16.03779195,7593,1028,2778,2.55,950.6778157552084,2676,0.001,-15.58305835723877
0,17.193311939999997,7619,1032,2791,2.57,864.3879760742187,2688,0.001,-15.163647015889486
0,16.73901457,7640,1036,2803,2.57,869.2945861816406,2700,0.001,-15.050999641418457
0,16.24839124,7655,1040,2813,2.55,791.5447794596354,2709,0.001,-14.145296096801758
0,16.748912400000002,7677,1044,2825,2.57,931.8727722167969,2721,0.001,-13.485066413879395
0,17.047504330000002,7694,1048,2834,2.59,821.6216430664062,2731,0.001,-14.933209419250488
0,17.060486190000002,7714,1052,2844,2.57,842.7019348144531,2743,0.001,-16.779104232788086
0,17.02333092,7740,1056,2856,2.57,867.5716756184896,2754,0.001,-16.90309429168701
0,16.37453059,7755,1060,2865,2.54,922.8349914550781,2764,0.001,-16.19074821472168
0,17.0584764,7782,1064,2877,2.55,1011.9492645263672,2774,0.001,-14.874590873718262
0,16.98916459,7805,1068,2888,2.52,820.8414306640625,2784,0.001,-13.5173921585083
0,17.35328902,7824,1072,2898,2.53,1070.0391235351562,2795,0.001,-14.63895320892334
0,16.731060239999998,7837,1076,2905,2.5,851.8657836914062,2803,0.001,-15.368698120117188
0,16.55714287,7851,1080,2913,2.5,773.9783325195312,2811,0.001,-15.368773460388184
0,14.96055408,7867,1084,2923,2.46,753.0671997070312,2821,0.001,-14.894732475280762
0,14.615720210000001,7883,1088,2933,2.45,772.5997314453125,2830,0.001,-14.35899305343628
0,13.565373289999998,7898,1092,2943,2.44,781.4385986328125,2840,0.001,-13.94677448272705
0,12.497485630000002,7905,1096,2949,2.39,974.21875,2847,0.001,-13.868301391601562
0,12.14158427,7923,1100,2960,2.39,700.7734069824219,2857,0.001,-13.92887020111084
0,12.70884862,7933,1104,2968,2.41,947.9124145507812,2866,0.001,-14.090011596679688
0,12.479781309999998,7939,1108,2974,2.38,1136.293701171875,2873,0.001,-14.284502029418945
0,12.70172955,7955,1112,2984,2.4,877.4734497070312,2882,0.001,-14.526611328125
