time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/std,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction
1400,,,1.82,35,2163,18.41120982,0,,,,,,,,,,,
1440,-5.0,1.0,,,,,,169.16189508438111,91.0850601196289,-0.053484201431274414,350,0.932418942451477,0.2,0.0047386605,-0.005457078237523128,-4.049984109401703,0.0003,0.13000000193715094
1440,,,1.79,36,2260,11.28781787,0,,,,,,,,,,,
1480,83.05258178710938,2.0,,,,,,389.480372095108,285.8300476074219,-0.01502692699432373,360,0.9249428510665894,0.2,0.015958099,-0.021427587829675687,-4.032103395462036,0.0003,0.13750000279396773
1480,,,1.73,37,2292,7.21277806,0,,,,,,,,,,,
1520,-12.885809406638145,4.0,,,,,,2755.2011578559877,2611.330322265625,-0.010303378105163574,370,0.9228881597518921,0.2,0.01793596,-0.01142794732855692,-4.0169532060623165,0.0003,0.2875000074505806
1520,,,1.76,38,2326,9.144912069999998,0,,,,,,,,,,,
1560,46.842172622680664,5.0,,,,,,693.3109342575074,94.84783172607422,-0.02530086040496826,380,0.9200392961502075,0.2,0.017100174,-0.016184618396328433,-4.010886031389236,0.0003,0.11000000182539224
1560,,,1.87,39,2368,11.745703959999998,0,,,,,,,,,,,
1600,-6.464386224746704,3.0,,,,,,806.1612336158753,1434.455322265625,0.0009181499481201172,390,0.9201642870903015,0.2,0.021839593,-0.004490981940871275,-4.005030608177185,0.0003,0.20500000435858964
1600,,,1.89,40,2403,14.197655899999999,0,,,,,,,,,,,
1640,-5.0,1.0,,,,,,1107.8214223861694,150.9084930419922,-0.00602567195892334,400,0.9203262329101562,0.2,0.017102333,-0.019280487459109284,-4.005349367856979,0.0003,0.14500000271946192
1640,,,1.81,41,2442,12.43141035,0,,,,,,,,,,,
1680,51.94121640920639,5.0,,,,,,1626.6340971946715,61.08915328979492,-0.013468623161315918,410,0.9194854497909546,0.2,0.020549268,-0.003401611240660718,-4.004953736066819,0.0003,0.2650000063702464
1680,,,1.9,42,2515,13.099634170000002,0,,,,,,,,,,,
1720,-5.0,1.0,,,,,,709.5865885734559,527.7070922851562,0.020167410373687744,420,0.9154829978942871,0.2,0.11609806,-0.013269881136875484,-3.9968734592199326,0.0003,0.5525000115856529
1720,,,1.9,43,2549,14.332934859999998,0,,,,,,,,,,,
1760,-5.0,1.0,,,,,,1342.7767751693725,115.99031829833984,0.0026650428771972656,430,0.9130029678344727,0.2,0.026516594,0.01013856448334991,-3.9856351554393767,0.0003,0.24250000510364772
1760,,,1.92,44,2578,15.57881663,0,,,,,,,,,,,
1800,-10.0,2.0,,,,,,3993.6955728530884,340.6695251464844,-0.021149516105651855,440,0.9133108854293823,0.2,0.01664482,-0.00874543011173955,-3.9821118265390396,0.0003,0.16750000286847352
1800,,,1.96,45,2639,16.84425873,0,,,,,,,,,,,
1840,11.306886672973633,2.0,,,,,,1227.8771521568299,120.5618896484375,0.005117595195770264,450,0.9131077527999878,0.2,0.015485108,-0.01377853010490071,-3.9816701978445055,0.0003,0.1400000022724271
1840,,,2.07,46,2668,17.54041337,0,,,,,,,,,,,
1880,47.52380960062146,4.0,,,,,,1598.3320837020874,1684.192626953125,-0.01730048656463623,460,0.9117797613143921,0.2,0.0021046922,0.0012761784601752924,-3.9805344104766847,0.0003,0.06250000093132257
1880,,,2.09,47,2700,19.79469846,0,,,,,,,,,,,
1920,-5.0,1.0,,,,,,7427.242129135132,183.09812927246094,-0.01637136936187744,470,0.9111267924308777,0.2,0.0037247092,-0.006914134480430223,-3.976307326555252,0.0003,0.1250000024214387
1920,,,2.1,48,2800,21.416649469999996,0,,,,,,,,,,,
1960,6.680750370025635,4.0,,,,,,4956.289188194275,159.10501098632812,-0.0022339820861816406,480,0.9098522067070007,0.2,0.017900325,-0.008224629827964236,-3.9730924725532533,0.0003,0.11000000219792128
1960,,,2.04,49,2882,18.1400258,0,,,,,,,,,,,
2000,110.0106086730957,3.0,,,,,,567.3155704498291,556.210205078125,0.003978371620178223,490,0.9109220504760742,0.2,0.011889107,-0.0030753955057298277,-3.9729140967130663,0.0003,0.13000000230967998
2000,,,2.17,50,2914,21.619410010000003,0,,,,,,,,,,,
2040,-5.0,1.0,,,,,,1082.3292325973512,116.29207611083984,-0.03323006629943848,500,0.9125350713729858,0.2,0.009309845,-0.010140149962862787,-3.977762848138809,0.0003,0.21000000443309547
2040,,,1.97,51,2946,15.45575657,0,,,,,,,,,,,
2080,-5.0,1.0,,,,,,309.1332865715027,46.1380729675293,-0.059145569801330566,510,0.9125012755393982,0.2,0.020798132,-0.0027106525199361185,-3.9788049161434174,0.0003,0.10750000216066838
2080,,,1.99,52,2974,13.944689539999999,0,,,,,,,,,,,
2120,-10.0,2.0,,,,,,1899.3396377563477,3684.17529296875,-0.005719780921936035,520,0.9132469892501831,0.2,0.01613428,-0.000506785585166547,-3.9801623076200485,0.0003,0.20500000435858964
2120,,,1.79,53,3027,9.62714433,0,,,,,,,,,,,
2160,-5.0,1.0,,,,,,880.2555493354797,56.34688186645508,-0.027039170265197754,530,0.9123862981796265,0.2,0.04354482,-0.03389865386954625,-3.9801504611968994,0.0003,0.3125000067055225
2160,,,1.81,54,3059,10.431149419999999,0,,,,,,,,,,,
2200,31.35037612915039,2.0,,,,,,1091.0424777030944,499.70062255859375,-0.0014899969100952148,540,0.914185643196106,0.2,0.006520887,-0.01841847878640692,-3.980931690335274,0.0003,0.26000000685453417
2200,,,1.91,55,3087,12.073058430000001,0,,,,,,,,,,,
2240,135.3941307067871,3.0,,,,,,1211.4896759033204,1025.1689453125,-0.004304409027099609,550,0.9141542315483093,0.2,0.0075443136,-0.012412413779529886,-3.9852946192026137,0.0003,0.20250000432133675
2240,,,2.0,56,3121,17.52493322,0,,,,,,,,,,,
2280,66.08069610595703,2.0,,,,,,2146.297591781616,1790.1868896484375,-0.01177668571472168,560,0.9144088625907898,0.2,0.018542457,0.0008133981091668852,-3.9834438621997834,0.0003,0.16500000283122063
2280,,,1.82,57,3155,12.57435839,0,,,,,,,,,,,
2320,7.20134162902832,3.0,,,,,,629.4615400314331,83.15789794921875,-0.04384946823120117,570,0.9116003513336182,0.2,0.029310022,-0.013161758949718206,-3.9800460666418074,0.0003,0.36250000800937415
2320,,,1.84,58,3195,15.489233950000001,0,,,,,,,,,,,
2360,124.23303747177124,5.0,,,,,,573.7436946868896,239.20323181152344,-0.016019344329833984,580,0.9103457927703857,0.2,0.02392384,-0.024706013082759458,-3.9721793830394745,0.0003,0.33500000815838576
2360,,,1.78,59,3233,14.823570629999999,0,,,,,,,,,,,
2400,16.996848821640015,3.0,,,,,,1186.8223484039306,144.45382690429688,-0.0033658742904663086,590,0.9112720489501953,0.2,0.020087253,-0.011485348702117325,-3.971769168972969,0.0003,0.2950000049546361
2400,,,1.64,60,3272,10.57730405,0,,,,,,,,,,,
2440,-8.312955379486084,2.0,,,,,,486.55493955612184,75.25123596191406,-0.01781177520751953,600,0.9125531911849976,0.2,0.013846181,-0.004453789717590551,-3.9760596573352815,0.0003,0.10250000189989805
2440,,,1.65,61,3326,12.02375603,0,,,,,,,,,,,
2480,115.64941024780273,3.0,,,,,,977.0747376441956,2205.494873046875,-0.02140498161315918,610,0.9094505310058594,0.2,0.03629562,-0.0060246394042042795,-3.9734354108572005,0.0003,0.25500000584870575
2480,,,1.73,62,3355,11.772953929999998,0,,,,,,,,,,,
2520,108.49129867553711,3.0,,,,,,951.8671223640442,129.45098876953125,-0.029159903526306152,620,0.9099356532096863,0.2,0.050716024,-0.013252692655732968,-3.9673421680927277,0.0003,0.41000000927597285
2520,,,1.79,63,3434,14.99433947,0,,,,,,,,,,,
2560,-5.0,1.0,,,,,,5508.621119880676,7977.29931640625,-0.008755803108215332,630,0.9078192710876465,0.2,0.019663338,-0.006232220034362435,-3.96617214679718,0.0003,0.19250000398606062
2560,,,1.87,64,3493,17.78818696,0,,,,,,,,,,,
2600,124.96396350860596,5.0,,,,,,2222.2678701400755,2924.84423828125,-0.005439043045043945,640,0.907523512840271,0.2,0.015586299,-0.0017430887019145302,-3.9613874047994613,0.0003,0.09500000160187483
2600,,,1.97,65,3520,24.524571370000004,0,,,,,,,,,,,
2640,8.734562873840332,5.0,,,,,,6045.452635192871,3109.227783203125,2.6702880859375e-05,650,0.9075578451156616,0.2,0.015171235,-0.01356833888450637,-3.9605615973472594,0.0003,0.26000000573694704
2640,,,1.98,66,3567,22.20204251,0,,,,,,,,,,,
2680,-5.0,1.0,,,,,,1527.415027809143,370.77099609375,-0.007419586181640625,660,0.9066410064697266,0.2,0.021299541,-0.023726627087899032,-3.95942160487175,0.0003,0.23500000536441804
2680,,,2.07,67,3594,24.90080504,0,,,,,,,,,,,
2720,-5.0,1.0,,,,,,2192.8359170913695,354.2237854003906,-0.026643753051757812,670,0.9044933319091797,0.2,0.015717836,-0.025046623912785428,-3.955799776315689,0.0003,0.4350000085309148
2720,,,2.06,68,3627,23.59920432,0,,,,,,,,,,,
2760,-5.0,1.0,,,,,,1355.319214630127,1174.99267578125,-0.0369720458984375,680,0.9047915935516357,0.2,0.011029452,-0.008850182046435295,-3.9514406234025956,0.0003,0.08750000149011612
2760,,,2.23,69,3650,27.068172779999994,0,,,,,,,,,,,
