time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/std,train/loss
6160,5.0,191.13016319274902,,,,,,1708.7938251495361,1530,0.2,-3.2689322173595428,0.16362953186035156,0.0003,-0.004988276088697607,0.21250000447034836,0.013054708,0.7373530268669128,1753.2586669921875
6160,,,4.2,90.30421154999998,4900,1,154,,,,,,,,,,,
6200,5.0,52.467926025390625,,,,,,1711.8695644378663,1540,0.2,-3.262129658460617,0.22114986181259155,0.0003,-0.031341910898286154,0.2825000062584877,0.035360686,0.7342734336853027,992.9421997070312
6200,,,4.24,89.50486553,4935,1,155,,,,,,,,,,,
6240,5.0,110.45103597640991,,,,,,1377.075392150879,1550,0.2,-3.251080000400543,0.2410374879837036,0.0003,-0.011036408396757902,0.18000000473111868,0.03440675,0.7311939001083374,853.9924926757812
6240,,,4.22,91.38268818999997,4973,1,156,,,,,,,,,,,
6280,4.0,14.680449604988098,,,,,,1375.9981491088868,1560,0.2,-3.231691214442253,0.1341504454612732,0.0003,-0.006297453166916966,0.4500000089406967,0.08517915,0.7291898131370544,416.6370849609375
6280,,,4.18,91.49607516000002,5008,1,157,,,,,,,,,,,
6320,5.0,136.69202613830566,,,,,,1118.4872963428497,1570,0.2,-3.231038507819176,0.34982532262802124,0.0003,0.015048673741766837,0.30250000637024643,0.08191048,0.7308217883110046,521.790283203125
6320,,,4.23,92.7350641,5048,1,158,,,,,,,,,,,
6360,3.0,19.34048080444336,,,,,,2457.523669052124,1580,0.2,-3.2352369636297227,0.3086276650428772,0.0003,-0.013950479543855176,0.24750000573694705,0.030627389,0.7310605049133301,1043.239013671875
6360,,,4.06,85.58034943999999,5128,1,159,,,,,,,,,,,
6400,5.0,123.48564338684082,,,,,,2598.3015747070312,1590,0.2,-3.234692168235779,0.13331806659698486,0.0003,-0.040477776012849055,0.2425000049173832,0.031628326,0.7307397723197937,1474.5458984375
6400,,,4.09,88.98339581,5162,1,160,,,,,,,,,,,
6440,3.0,53.8221378326416,,,,,,1765.5989639282227,1600,0.2,-3.229633691906929,0.26939278841018677,0.0003,-0.0289281906850374,0.15500000286847354,0.0111021325,0.7291247248649597,679.026123046875
6440,,,4.06,87.47447641,5267,1,161,,,,,,,,,,,
6480,4.0,67.26764297485352,,,,,,2895.6144454956057,1610,0.2,-3.2195292502641677,0.16250663995742798,0.0003,-0.02129119749704842,0.28500000610947607,0.027014226,0.7277194857597351,1154.4903564453125
6480,,,4.04,86.98576283999999,5306,1,162,,,,,,,,,,,
6520,5.0,52.39841079711914,,,,,,1850.23695230484,1620,0.2,-3.207302674651146,0.17503827810287476,0.0003,-0.014216069789690654,0.32750000767409804,0.019806193,0.724082350730896,261.1231994628906
6520,,,3.98,85.29579403,5355,1,163,,,,,,,,,,,
6560,3.0,36.91458225250244,,,,,,2237.611093902588,1630,0.2,-3.1960947483778,-0.0018407106399536133,0.0003,-0.02825609219333274,0.2250000059604645,0.02006162,0.7232435941696167,1076.4439697265625
6560,,,3.99,84.89644089000001,5391,1,164,,,,,,,,,,,
6600,2.0,20.827417373657227,,,,,,1692.6712931632997,1640,0.2,-3.1900293260812758,0.22938483953475952,0.0003,-0.030906260399501662,0.3300000073388219,0.026292792,0.7209843397140503,891.6764526367188
6600,,,3.97,84.64110045999998,5422,1,165,,,,,,,,,,,
6640,5.0,127.72116374969482,,,,,,1506.4689151763916,1650,0.2,-3.18262440264225,0.10442608594894409,0.0003,0.0005316519935149699,0.16500000320374966,0.006439853,0.7193472385406494,1035.3916015625
6640,,,3.94,84.55694734000001,5459,1,166,,,,,,,,,,,
6680,5.0,26.153818130493164,,,,,,2423.5048343658445,1660,0.2,-3.1762979686260224,0.0053141117095947266,0.0003,-0.02424381662371161,0.30500000696629287,0.011891762,0.7190525531768799,951.5202026367188
6680,,,3.97,85.84563012999999,5499,1,167,,,,,,,,,,,
6720,5.0,158.99399662017822,,,,,,1530.0355421066283,1670,0.2,-3.1767680794000626,0.3626266121864319,0.0003,-0.02980975688820764,0.41500000935047865,0.07999276,0.7189868688583374,541.6329956054688
6720,,,4.03,87.97272955999999,5539,1,168,,,,,,,,,,,
6760,5.0,127.15200805664062,,,,,,1524.023000717163,1680,0.2,-3.178250750899315,0.44527989625930786,0.0003,-0.0029827841248152077,0.11500000171363353,0.007287914,0.7210401296615601,616.5513305664062
6760,,,4.1,93.25499579000001,5583,1,169,,,,,,,,,,,
6800,5.0,139.7973518371582,,,,,,1590.3131017684937,1690,0.2,-3.1877665579319,0.3856855630874634,0.0003,-0.029653569401998536,0.2900000065565109,0.038373016,0.7237240672111511,483.882568359375
6800,,,4.02,91.76056330000002,5624,1,170,,,,,,,,,,,
6840,5.0,91.05119705200195,,,,,,4086.5012481689455,1700,0.2,-3.1955844849348067,-0.08479893207550049,0.0003,-0.041422592249946356,0.3550000086426735,0.07123384,0.7252426147460938,1318.636474609375
6840,,,4.03,92.13276948,5659,1,171,,,,,,,,,,,
6880,4.0,67.93339920043945,,,,,,1200.60606842041,1710,0.2,-3.196094644069672,0.4455624222755432,0.0003,-0.019097538351197717,0.31500000655651095,0.014702883,0.7246188521385193,439.951416015625
6880,,,4.1,97.24646737,5695,1,172,,,,,,,,,,,
6920,5.0,138.1947422027588,,,,,,1426.825671005249,1720,0.2,-3.194013223052025,0.40282416343688965,0.0003,-0.028435139079228965,0.4175000086426735,0.032062165,0.7247955203056335,526.4041137695312
6920,,,4.17,99.2061868,5734,1,173,,,,,,,,,,,
6960,5.0,60.695159912109375,,,,,,1027.0226760864257,1730,0.2,-3.194340467453003,0.5005040168762207,0.0003,-0.02127087438799209,0.39500000756233933,0.132063,0.7247921824455261,177.0334014892578
6960,,,4.19,99.23472846000003,5775,1,174,,,,,,,,,,,
7000,2.0,14.405344009399414,,,,,,2646.428653335571,1740,0.2,-3.1942997217178344,0.1356702446937561,0.0003,-0.014611754995876258,0.09500000216066837,0.021113174,0.7246607542037964,270.92730712890625
7000,,,4.22,104.8027689,5808,1,175,,,,,,,,,,,
7040,5.0,144.62725067138672,,,,,,1834.1369945526124,1750,0.2,-3.195901870727539,0.37186306715011597,0.0003,-0.014444239302101768,0.4125000094994903,0.03161682,0.7256503105163574,1473.7265625
7040,,,4.26,108.88890022,5850,1,176,,,,,,,,,,,
