time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/std,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss
2480,4.276180267333984,5.0,,,,,,0.9162294268608093,-3.977463060617447,610,0.2,0.0003,1098.566262626648,0.3700000084936619,1238.084228515625,0.029721495,0.012201547622680664,-0.03507113842468244
2480,,,62,1,3.67,43.76849226999999,2265,,,,,,,,,,,
2520,113.65576791763306,5.0,,,,,,0.914539098739624,-3.9688447415828705,620,0.2,0.0003,1195.0164453029633,0.2375000048428774,707.86279296875,0.017196469,0.12486428022384644,-0.025625779018009776
2520,,,63,1,3.71,45.741070279999995,2287,,,,,,,,,,,
2560,34.0913200378418,4.0,,,,,,0.913773238658905,-3.9647351801395416,630,0.2,0.0003,1746.6958358764648,0.15000000279396772,791.5140380859375,0.015472657,0.11617743968963623,-0.00782994664869876
2560,,,64,1,3.76,48.281613539999995,2317,,,,,,,,,,,
2600,64.59449243545532,5.0,,,,,,0.9102182388305664,-3.954147544503212,640,0.2,0.0003,1482.3783470153808,0.25500000473111867,1237.0777587890625,0.011797381,0.03307008743286133,-0.014248513352358706
2600,,,65,1,3.73,48.73681219,2341,,,,,,,,,,,
2640,152.66273021697998,5.0,,,,,,0.9098758697509766,-3.948509982228279,650,0.2,0.0003,1773.186756515503,0.057500000856816766,147.69467163085938,0.011777055,0.07550758123397827,-0.006019162614848028
2640,,,66,1,3.78,49.082391120000004,2366,,,,,,,,,,,
2680,116.06879615783691,5.0,,,,,,0.907947301864624,-3.9441284596920014,660,0.2,0.0003,2137.7590129852297,0.14250000324100257,729.4686279296875,0.018288676,0.048306286334991455,-0.018758397569863527
2680,,,67,1,3.84,53.20375091,2391,,,,,,,,,,,
2720,150.61908531188965,5.0,,,,,,0.9059568643569946,-3.9366579413414002,670,0.2,0.0003,1965.2657539367676,0.20250000432133675,216.16134643554688,0.014238919,0.08876830339431763,-0.02577252551982383
2720,,,68,1,3.91,56.80580433,2415,,,,,,,,,,,
2760,101.98766899108887,5.0,,,,,,0.9072251319885254,-3.935408726334572,680,0.2,0.0003,1592.6633451461792,0.18250000327825547,335.28863525390625,0.020418983,0.08822059631347656,-0.01410678203756106
2760,,,69,1,3.89,58.1862313,2473,,,,,,,,,,,
2800,86.39716062322259,5.0,,,,,,0.9055061340332031,-3.935410884022713,690,0.2,0.0003,1180.040309715271,0.25000000540167094,675.173828125,0.01963811,0.17796552181243896,-0.030644625058484955
2800,,,70,1,3.97,61.040270289999995,2497,,,,,,,,,,,
2840,170.955078125,5.0,,,,,,0.9021940231323242,-3.925017863512039,700,0.2,0.0003,994.5707641601563,0.2725000068545341,680.0159301757812,0.024475714,0.2535073757171631,-0.03603834995599755
2840,,,71,1,3.97,62.09333092000001,2522,,,,,,,,,,,
2880,30.470602989196777,3.0,,,,,,0.8991684913635254,-3.9148423939943315,710,0.2,0.0003,1634.46180267334,0.15500000324100255,1166.5250244140625,0.036477134,0.12241411209106445,0.0038262760712677313
2880,,,72,1,3.84,66.3307263,2548,,,,,,,,,,,
2920,79.7337236404419,5.0,,,,,,0.8977417945861816,-3.9050768345594404,720,0.2,0.0003,14278.788995361328,0.5425000114366412,1773.29638671875,0.060581665,-0.0054198503494262695,0.003392848545918237
2920,,,73,1,3.9,66.34951696,2576,,,,,,,,,,,
2960,73.84792518615723,4.0,,,,,,0.8945332765579224,-3.8996418476104737,730,0.2,0.0003,938.151883649826,0.22750000488013028,306.812255859375,0.049337238,0.2289552092552185,-0.01954255232660216
2960,,,74,1,3.92,65.5384157,2603,,,,,,,,,,,
3000,144.28392887115479,5.0,,,,,,0.8909361362457275,-3.886958211660385,740,0.2,0.0003,2038.2106609344482,0.0825000012293458,989.9649047851562,0.011983249,0.023162424564361572,-0.01765208167969832
3000,,,75,1,4.03,69.58030483,2630,,,,,,,,,,,
3040,57.3584246635437,5.0,,,,,,0.8903674483299255,-3.8773333817720412,750,0.2,0.0003,2835.2953210830688,0.39250000920146705,1527.6761474609375,0.027835093,0.1937868595123291,-0.013670099594310158
3040,,,76,1,4.0,66.17244314999999,2653,,,,,,,,,,,
3080,70.57013511657715,5.0,,,,,,0.8886016607284546,-3.8739256024360658,760,0.2,0.0003,1070.0249401092528,0.1325000027194619,358.00677490234375,0.010859992,-0.056058526039123535,-0.009972238813406874
3080,,,77,1,3.98,66.58703364,2676,,,,,,,,,,,
3120,-11.75833535194397,4.0,,,,,,0.8882339000701904,-3.870490139722824,770,0.2,0.0003,2418.025982093811,0.2425000049173832,2413.943359375,0.040533345,0.1769927740097046,-0.03205003276263596
3120,,,78,1,4.04,68.54323083000001,2701,,,,,,,,,,,
3160,20.56663489341736,3.0,,,,,,0.8858338594436646,-3.8665003567934035,780,0.2,0.0003,1766.0568351745605,0.2650000058114529,456.34210205078125,0.025379505,0.14165115356445312,-0.03269935191347031
3160,,,79,1,3.9,67.43072421000001,2724,,,,,,,,,,,
3200,215.6200065612793,5.0,,,,,,0.8828986883163452,-3.857015383243561,790,0.2,0.0003,2572.8355667114256,0.19750000387430192,1551.7777099609375,0.010611469,0.04309290647506714,-0.02290902115280915
3200,,,80,1,3.96,70.72709318999999,2748,,,,,,,,,,,
3240,111.11341285705566,5.0,,,,,,0.8829993009567261,-3.8490875989198683,800,0.2,0.0003,1864.1459646224976,0.2575000060722232,646.2836303710938,0.028097566,0.05195218324661255,-0.02663500384520375
3240,,,81,1,3.91,72.157033,2775,,,,,,,,,,,
3280,139.760666847229,5.0,,,,,,0.8806917071342468,-3.845018592476845,810,0.2,0.0003,1788.2589805603027,0.11000000201165676,1034.987060546875,0.0021442354,0.2036176323890686,-0.00018580327759991632
3280,,,82,1,4.04,72.52937345999999,2798,,,,,,,,,,,
3320,126.19254302978516,5.0,,,,,,0.8791477084159851,-3.83596011698246,820,0.2,0.0003,2508.216718673706,0.36750000845640896,1120.5841064453125,0.029693916,0.10981780290603638,-0.04621916594762299
3320,,,83,1,3.92,70.66366554,2823,,,,,,,,,,,
3360,146.05401229858398,5.0,,,,,,0.8755906820297241,-3.8279603898525236,830,0.2,0.0003,1822.9859603881837,0.21000000424683093,1038.8302001953125,0.027741963,0.13504678010940552,-0.01432731043445532
3360,,,84,1,3.95,76.16750253999999,2846,,,,,,,,,,,
3400,38.62640428543091,5.0,,,,,,0.8739131689071655,-3.8166633188724517,840,0.2,0.0003,2905.317475891113,0.12750000227242708,567.4769897460938,0.010252966,0.1269974708557129,-0.023964319965743906
3400,,,85,1,3.83,72.96584875999999,2876,,,,,,,,,,,
3440,172.11623001098633,5.0,,,,,,0.8737057447433472,-3.8125193774700166,850,0.2,0.0003,2084.5903800964356,0.22250000424683095,701.3973388671875,0.014614287,0.051176607608795166,-0.03544213491854862
3440,,,86,1,3.92,76.55167448,2896,,,,,,,,,,,
3480,163.61336278915405,5.0,,,,,,0.8760052919387817,-3.815894213318825,860,0.2,0.0003,2116.931408548355,0.43500001076608896,2432.597900390625,0.025689704,0.16539490222930908,-0.04278362688099151
3480,,,87,1,3.8,71.44137381,2978,,,,,,,,,,,
3520,110.97403144836426,5.0,,,,,,0.8762814402580261,-3.820373809337616,870,0.2,0.0003,2184.903744316101,0.2925000056624413,1571.2308349609375,0.02070088,-0.08491003513336182,-0.0272548813152389
3520,,,88,1,3.9,74.57252663999999,3039,,,,,,,,,,,
3560,49.248708724975586,3.0,,,,,,0.8769997954368591,-3.8206063866615296,880,0.2,0.0003,1222.673085975647,0.22500000502914191,304.8317565917969,0.029360479,0.19036370515823364,-0.036357197125835225
3560,,,89,1,3.82,73.10817013,3063,,,,,,,,,,,
3600,72.1957688331604,5.0,,,,,,0.8731078505516052,-3.8153178572654722,890,0.2,0.0003,1614.729824066162,0.207500003837049,463.8913879394531,0.0140299965,-0.04743826389312744,-0.014236525922824494
3600,,,90,1,3.72,68.01165024,3088,,,,,,,,,,,
3640,39.67205345630646,5.0,,,,,,0.8700450658798218,-3.805034029483795,900,0.2,0.0003,2014.9875694274901,0.25500000491738317,626.869873046875,0.0261707,0.014427483081817627,-0.01855866736892494
3640,,,91,1,3.68,65.17542162,3110,,,,,,,,,,,
3680,113.74149131774902,5.0,,,,,,0.8701931238174438,-3.796676033735275,910,0.2,0.0003,1728.8626777648926,0.17250000312924385,1560.05810546875,0.024266131,0.012595713138580322,-0.011892690401618911
3680,,,92,1,3.74,67.44433489000001,3134,,,,,,,,,,,
3720,166.44195938110352,5.0,,,,,,0.8714303970336914,-3.8016471207141875,920,0.2,0.0003,1572.9394264221191,0.38000000901520253,630.1228637695312,0.015975676,0.09346258640289307,-0.01878228536530514
3720,,,93,1,3.78,66.46144115000001,3158,,,,,,,,,,,
3760,-5.0,1.0,,,,,,0.8708198070526123,-3.7997903347015383,930,0.2,0.0003,1756.3155277252197,0.42750000935047866,1196.7918701171875,0.037892036,0.16035068035125732,-0.03078185062186094
3760,,,94,1,3.83,67.13699757,3178,,,,,,,,,,,
3800,125.48169708251953,5.0,,,,,,0.8726143836975098,-3.8016239613294602,940,0.2,0.0003,1352.2233840942383,0.21500000432133676,326.69110107421875,0.01926716,0.11496114730834961,-0.028309313225909127
3800,,,95,1,3.79,67.89565861999999,3200,,,,,,,,,,,
3840,70.66807633638382,5.0,,,,,,0.8686739206314087,-3.796752151846886,950,0.2,0.0003,1692.601650238037,0.287500006519258,862.3479614257812,0.019577036,0.11897659301757812,-0.03136769095970522
3840,,,96,1,3.83,70.20148984000001,3221,,,,,,,,,,,
3880,-15.0,3.0,,,,,,0.8693104982376099,-3.7886274814605714,960,0.2,0.0003,2395.1547462463377,0.3125000072643161,1179.69970703125,0.08164273,0.03696107864379883,0.024864126384163687
3880,,,97,1,3.83,70.34806488,3243,,,,,,,,,,,
3920,163.05949211120605,5.0,,,,,,0.8640279173851013,-3.7839246183633803,970,0.2,0.0003,1764.2297531127929,0.24750000592321159,1539.4781494140625,0.020545378,0.10686177015304565,-0.017483920368249528
3920,,,98,1,3.82,66.91486266,3264,,,,,,,,,,,
3960,83.85619312524796,5.0,,,,,,0.8609108328819275,-3.768054631352425,980,0.2,0.0003,2220.5344650268553,0.10000000186264515,929.8948364257812,0.008097028,0.13719767332077026,0.0083120900495123
3960,,,99,1,4.0,72.17483273,3284,,,,,,,,,,,
4000,75.43294835090637,5.0,,,,,,0.8631505966186523,-3.7623122692108155,990,0.2,0.0003,1390.2411642074585,0.21500000469386576,463.7356872558594,0.028323963,0.14233648777008057,-0.026013536359823775
4000,,,100,1,4.11,73.68374917999999,3306,,,,,,,,,,,
4040,68.97974193096161,5.0,,,,,,0.8597959280014038,-3.760990935564041,1000,0.2,0.0003,1500.1449661254883,0.19000000394880773,462.1007385253906,0.0151302125,0.22397595643997192,-0.037852718134381555
4040,,,101,1,4.17,87.68144254999999,3326,,,,,,,,,,,
