time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
,120,,,,,0.0003,-0.020019173622131348,0.004144716542214155,0.9788400530815125,0.2,1773.7054443359375,-4.192248821258545,7.274151e-05,0.0,11,3112.5811767578125,30.236408233642578,3.0
12,120,51.433676318181824,1,2.727272727272727,61,,,,,,,,,,,,,
13,130,54.62804954166666,1,2.6875,65,0.0003,0.0015280842781066895,0.0009710788726806641,0.9788516759872437,0.2,7115.82861328125,-4.192309856414795,2.2494793e-05,0.0,12,8463.652709960938,,
14,140,56.04260126923077,2,2.673076923076923,68,0.0003,0.00020581483840942383,-0.0013582587009288716,0.9788616895675659,0.2,7905.509765625,-4.1923418045043945,5.1021575e-06,0.0,13,25738.6650390625,,
15,150,54.52292536363637,2,2.6545454545454548,72,0.0003,-0.0024726390838623047,-0.0005787730216981757,0.9788711071014404,0.2,11248.80859375,-4.192368745803833,7.104874e-06,0.0,14,16483.14111328125,,
,160,,,,,0.0003,0.0043798089027404785,0.001242038654163835,0.9788562655448914,0.2,869.9912109375,-4.19237756729126,2.580881e-06,0.0,15,1113.9028930664062,-15.0,3.0
16,160,50.86866193333333,1,2.6666666666666665,81,,,,,,,,,,,,,
17,170,50.19959428125,1,2.65625,85,0.0003,0.026780366897583008,-0.0034731387626365517,0.9788545966148376,0.2,52.215660095214844,-4.192334890365601,2.3907423e-05,0.0,16,93.72996520996094,,
18,180,50.53284841791045,2,2.6865671641791047,88,0.0003,0.009796202182769775,0.0056342243216924714,0.9788476824760437,0.2,610.8519897460938,-4.1923277378082275,6.0623886e-05,0.0,17,3177.1187744140625,,
19,190,50.2186553,2,2.6714285714285713,92,0.0003,-0.013182520866394043,0.0010225653881210661,0.9788395762443542,0.2,1439.7596435546875,-4.192304372787476,1.1253357e-05,0.0,18,3442.2706298828125,,
,200,,,,,0.0003,0.0027501583099365234,-0.0013579250080510974,0.9788322448730469,0.2,1940.115478515625,-4.192276239395142,7.6115134e-06,0.0,19,2875.5093994140625,179.5157012939453,5.0
20,200,51.72403042465754,1,2.712328767123288,194,,,,,,,,,,,,,
21,210,51.92476592105264,1,2.710526315789474,199,0.0003,-0.0011548995971679688,-0.0015098750591278076,0.9788249731063843,0.2,8274.6796875,-4.19225287437439,9.053946e-06,0.0,20,13665.6162109375,,
22,220,53.50430331250001,1,2.75,204,0.0003,0.006869137287139893,0.00029114485950998414,0.9788203239440918,0.2,955.616455078125,-4.192229747772217,1.487732e-05,0.0,21,3220.4378662109375,,
23,230,52.11769584523811,1,2.7142857142857144,208,0.0003,-9.143352508544922e-05,-0.0015188753604888916,0.9788212776184082,0.2,4484.1953125,-4.1922197341918945,9.310245e-06,0.0,22,9228.65283203125,,
,240,,,,,0.0003,-0.00409543514251709,0.002447426412254483,0.9788135886192322,0.2,1149.7913818359375,-4.192215204238892,4.9197675e-05,0.0,23,1347.1248016357422,28.37911605834961,3.0
24,240,50.66354486516855,1,2.6741573033707864,221,,,,,,,,,,,,,
25,250,50.37853290425534,1,2.6595744680851063,225,0.0003,0.023376047611236572,0.0014472664101048416,0.9786332845687866,0.2,560.6273193359375,-4.192052364349365,1.6599894e-05,0.0,24,632.4597244262695,,
26,260,48.523887939393944,1,2.6262626262626263,230,0.0003,-0.00717318058013916,-8.376836631196483e-05,0.9784865379333496,0.2,3924.763427734375,-4.191519021987915,5.49078e-05,0.0,25,8401.11279296875,,
27,270,46.567635960000004,1,2.6,233,0.0003,-0.003908038139343262,-0.0023178934585303956,0.9784162044525146,0.2,120.7911376953125,-4.191101551055908,2.8008222e-05,0.0,26,234.7020263671875,,
,280,,,,,0.0003,0.009320557117462158,0.0017153144115589214,0.9783832430839539,0.2,1663.1260986328125,-4.190944194793701,1.963377e-05,0.0,27,8332.797973632812,236.0558044910431,5.0
28,280,44.3859003,1,2.55,242,,,,,,,,,,,,,
