eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/entropy_loss,train/n_updates,train/std,train/approx_kl,train/policy_gradient_loss,train/learning_rate
390.1447105407715,5.0,7520,,,,,,11205.228720092773,2577.356689453125,0.2463536262512207,0.4675000121816993,0.2,-3.5857589483261108,1870,0.829206645488739,0.06516675,-0.0482381267065648,0.0003
,,7520,10565,291.00636388,0,188,4.27,,,,,,,,,,,
252.68648529052734,4.0,7560,,,,,,5136.611344146729,5482.298828125,0.5651630759239197,0.250000006146729,0.2,-3.586270898580551,1880,0.8304046392440796,0.00898838,-0.017133586040545202,0.0003
,,7560,10585,301.91331083999995,0,189,4.4,,,,,,,,,,,
363.79988861083984,5.0,7600,,,,,,12791.912594604491,5461.34619140625,0.3208349347114563,0.3425000082701445,0.2,-3.5839353680610655,1890,0.8281905055046082,0.013165079,-0.01292454187889236,0.0003
,,7600,10604,304.80358634,0,190,4.39,,,,,,,,,,,
331.17485427856445,5.0,7640,,,,,,8654.838864135741,1581.0706787109375,0.39107608795166016,0.10500000193715095,0.2,-3.5687255382537844,1900,0.8235933780670166,0.007879883,0.0010429170235874974,0.0003
,,7640,10697,307.93327323,0,191,4.41,,,,,,,,,,,
409.2250747680664,5.0,7680,,,,,,6533.278424072266,3431.51025390625,0.4624936580657959,0.5525000104680657,0.2,-3.552155214548111,1910,0.8189955949783325,0.06818646,-0.05945066889223198,0.0003
,,7680,10711,310.50106294,0,192,4.44,,,,,,,,,,,
450.43648529052734,5.0,7720,,,,,,14066.484884643554,2193.47412109375,0.02814161777496338,0.24250000510364772,0.2,-3.544609013199806,1920,0.8182686567306519,0.017602153,-0.011139437669116892,0.0003
,,7720,10754,312.80133127,0,193,4.47,,,,,,,,,,,
310.0729103088379,5.0,7760,,,,,,6001.744874572754,2358.485595703125,0.5051489770412445,0.3375000078231096,0.2,-3.5394153922796248,1930,0.8138011693954468,0.042158447,-0.024304646350065018,0.0003
,,7760,10768,322.71204625,0,194,4.57,,,,,,,,,,,
435.7344207763672,5.0,7800,,,,,,10013.668070220947,3142.35546875,0.2870481014251709,0.34000000804662706,0.2,-3.5234183251857756,1940,0.8116941452026367,0.0067126574,0.006469306260260055,0.0003
,,7800,10783,321.23026646,0,195,4.59,,,,,,,,,,,
