time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/value_loss,train/approx_kl,train/entropy_loss,train/loss,train/std,train/learning_rate,train/explained_variance,train/clip_range,train/clip_fraction
11880,327.7645263671875,4.0,,,,,,0.1646533887766418,2960,37532.28558654785,0.55619645,-3.043165776133537,26181.27734375,0.678888201713562,0.0003,-0.027690649032592773,0.2,0.4875000067055225
11880,,,1,9530,297,316.01437276,3.66,,,,,,,,,,,
11920,104.2249755859375,3.0,,,,,,0.0068564601382240745,2970,38561.8239440918,0.05852115,-3.028348609805107,25329.501953125,0.6793818473815918,0.0003,-0.11294901371002197,0.2,0.4275000112131238
11920,,,1,9594,298,316.28549972999997,3.68,,,,,,,,,,,
11960,388.39732360839844,5.0,,,,,,-0.042543429085744724,2980,18038.65191040039,0.08971445,-3.0323751837015154,4893.5576171875,0.6799103021621704,0.0003,0.0670696496963501,0.2,0.48000001050531865
11960,,,1,9613,299,313.74105257,3.68,,,,,,,,,,,
12000,127.25371170043945,3.0,,,,,,-0.026402258315356454,2990,24501.494998168946,0.12328242,-3.0303507685661315,17095.40234375,0.6800806522369385,0.0003,0.09268128871917725,0.2,0.5575000120326876
12000,,,1,9631,300,318.5100109,3.74,,,,,,,,,,,
12040,291.52357482910156,4.0,,,,,,-0.03078173352776503,3000,22811.63754272461,0.022298,-3.03437283039093,10387.5888671875,0.6806037425994873,0.0003,0.0019388794898986816,0.2,0.29750000685453415
12040,,,1,9651,301,325.93728656,3.8,,,,,,,,,,,
12080,450.4348907470703,5.0,,,,,,-0.0049054526062900505,3010,38848.95914306641,0.015112579,-3.0321277409791945,18894.142578125,0.6798645853996277,0.0003,0.011126160621643066,0.2,0.17750000301748514
12080,,,1,9669,302,312.87538602000006,3.79,,,,,,,,,,,
12120,426.86351776123047,5.0,,,,,,0.016841791454353373,3020,31104.964251708985,0.0591619,-3.0251006305217745,2682.191650390625,0.6784583330154419,0.0003,0.07889914512634277,0.2,0.6000000113621354
12120,,,1,9687,303,318.0440897100001,3.8,,,,,,,,,,,
