eval/mean_reward,eval/mean_ep_length,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/value_loss,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/std,train/clip_range,train/learning_rate
245.8735933303833,5.0,1320,,,,,,320,4709.710286140442,4738.59423828125,-4.079173922538757,0.1850000036880374,0.019245445728302002,-0.0295676848329822,0.0218796,0.9436008334159851,0.2,0.0003
,,1320,2.94,1620,76.54885122,0,33,,,,,,,,,,,
198.42078399658203,5.0,1360,,,,,,330,6198.77230758667,4228.9951171875,-4.075108063220978,0.3925000086426735,0.04424393177032471,-0.023431086578348182,0.04091048,0.9421524405479431,0.2,0.0003
,,1360,2.92,1648,68.36552231000002,0,34,,,,,,,,,,,
-5.0,1.0,1400,,,,,,340,4426.363451004028,2261.915771484375,-4.068491715192795,0.15500000342726708,-0.023302793502807617,-0.012328812417622426,0.036394946,0.9388800859451294,0.2,0.0003
,,1400,3.0,1672,71.37979649,0,35,,,,,,,,,,,
-5.0,1.0,1440,,,,,,350,3329.024710845947,1094.49365234375,-4.05823090672493,0.21000000461935997,-0.00641024112701416,-0.03767182649971801,0.04247951,0.9362370371818542,0.2,0.0003
,,1440,3.07,1736,74.28581603,0,36,,,,,,,,,,,
15.199694633483887,5.0,1480,,,,,,360,5437.12130203247,1684.6229248046875,-4.049368059635162,0.30250000711530445,-0.0012356042861938477,-0.0429139498792938,0.026677169,0.9343208074569702,0.2,0.0003
,,1480,2.99,1760,73.90975451,0,37,,,,,,,,,,,
85.15797626972198,5.0,1520,,,,,,370,3935.512483215332,2986.46142578125,-4.045450437068939,0.4975000085309148,0.00641709566116333,-0.024287974079925334,0.068841636,0.9333699941635132,0.2,0.0003
,,1520,3.04,1783,74.91544060999999,0,38,,,,,,,,,,,
-5.0,1.0,1560,,,,,,380,2565.951219558716,505.6810302734375,-4.044579857587815,0.25500000528991223,-0.05264914035797119,-0.02527571081831411,0.038903356,0.9339665770530701,0.2,0.0003
,,1560,2.99,1806,68.97379068000001,0,39,,,,,,,,,,,
197.84655666351318,5.0,1600,,,,,,390,4774.100883483887,1132.0604248046875,-4.0436640083789825,0.19750000387430192,0.01608729362487793,-0.009269825904784756,0.008503517,0.9322606921195984,0.2,0.0003
,,1600,2.97,1830,65.35566018,0,40,,,,,,,,,,,
121.91936492919922,3.0,1640,,,,,,400,3414.668357849121,887.1083984375,-4.037663608789444,0.15000000298023225,-0.030808448791503906,-0.02257029373242403,0.010618728,0.9312570095062256,0.2,0.0003
,,1640,2.98,1855,65.44395891,0,41,,,,,,,,,,,
25.33689308166504,2.0,1680,,,,,,410,1658.113725090027,515.185791015625,-4.034184741973877,0.027500000409781934,0.09745818376541138,-0.0051996164427782765,0.006346558,0.9300074577331543,0.2,0.0003
,,1680,2.93,1928,63.78680834,0,42,,,,,,,,,,,
103.64355182647705,5.0,1720,,,,,,420,2379.4241903305056,890.0572509765625,-4.029761850833893,0.1575000027194619,0.07920557260513306,-0.019554270731023282,0.014475696,0.9288985133171082,0.2,0.0003
,,1720,3.09,1950,68.71982271,0,43,,,,,,,,,,,
58.32351636886597,5.0,1760,,,,,,430,2089.6534912109373,1351.7801513671875,-4.022620517015457,0.1575000027194619,0.20146816968917847,-0.019092601070879022,0.013588304,0.9243110418319702,0.2,0.0003
,,1760,3.2,1973,74.03798578000001,0,44,,,,,,,,,,,
52.64084243774414,2.0,1800,,,,,,440,7123.560330963135,843.4115600585938,-4.010319179296493,0.36250000819563866,0.1123167872428894,-0.024623406561868254,0.019769546,0.9227935671806335,0.2,0.0003
,,1800,3.19,1993,72.08706398999999,0,45,,,,,,,,,,,
145.47693061828613,5.0,1840,,,,,,450,1846.6371955871582,941.4718627929688,-4.007618641853332,0.33000000808387997,0.03372305631637573,-0.03376994185882722,0.020202693,0.9227997660636902,0.2,0.0003
,,1840,3.1,2020,71.34075222000001,0,46,,,,,,,,,,,
89.84597396850586,3.0,1880,,,,,,460,6613.430876159668,3180.184814453125,-4.006699734926224,0.1900000037625432,0.004730820655822754,-0.023994596011471005,0.0196232,0.9218672513961792,0.2,0.0003
,,1880,2.98,2048,68.72168321000001,0,47,,,,,,,,,,,
-4.011829376220703,4.0,1920,,,,,,470,4458.483747863769,3493.77392578125,-4.00417993068695,0.21000000406056643,0.02331829071044922,-0.028813914034035402,0.025470458,0.9219541549682617,0.2,0.0003
,,1920,3.12,2073,69.62127469,0,48,,,,,,,,,,,
101.12914276123047,3.0,1960,,,,,,480,2356.3098892211915,1712.98681640625,-4.002464210987091,0.14250000230968,0.11466580629348755,-0.00745663502210846,0.010379463,0.9209161996841431,0.2,0.0003
,,1960,3.08,2096,72.43201407,0,49,,,,,,,,,,,
55.177021980285645,3.0,2000,,,,,,490,7417.702651977539,979.3881225585938,-3.9965368658304214,0.0900000013411045,0.05138939619064331,-0.0038168022630270747,0.007825913,0.9187065362930298,0.2,0.0003
,,2000,3.09,2169,73.95079858999999,0,50,,,,,,,,,,,
316.0888023376465,5.0,2040,,,,,,500,4906.705799102783,2103.962646484375,-3.9921531081199646,0.2900000065565109,0.05399429798126221,-0.04629672417926485,0.02780062,0.9179856181144714,0.2,0.0003
,,2040,2.92,2193,71.91370068,0,51,,,,,,,,,,,
