time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/clip_range,train/std
1560,,,2947,0,24.273733000000004,3.49,39,,,,,,,,,,,
1600,5.0,97.75082635879517,,,,,,0.022684652,0.0003,0.04076915979385376,390,251.29051208496094,-3.956671965122223,0.20000000428408385,-0.01900425217812881,718.5278064727784,0.2,0.9047218561172485
1600,,,3117,0,24.823270200000003,3.49,40,,,,,,,,,,,
1640,5.0,44.96739387512207,,,,,,0.01669814,0.0003,0.06911998987197876,400,448.60693359375,-3.9435688853263855,0.19250000398606062,-0.014613908486353466,1385.8174095153809,0.2,0.9007017016410828
1640,,,3276,0,25.63012794,3.46,41,,,,,,,,,,,
1680,2.0,8.216153144836426,,,,,,0.01722673,0.0003,-0.024127960205078125,410,242.296142578125,-3.9327038794755937,0.34250000678002834,-0.023814063085010273,559.5834663391113,0.2,0.898432731628418
1680,,,3373,0,27.94809715,3.45,42,,,,,,,,,,,
1720,3.0,13.173521995544434,,,,,,0.0063924254,0.0003,-0.0010960102081298828,420,476.3600158691406,-3.9264493584632874,0.11750000212341546,-0.006645227678018273,1000.4381429672242,0.2,0.8965140581130981
1720,,,3413,0,29.10908473,3.38,43,,,,,,,,,,,
1760,5.0,102.32632160186768,,,,,,0.020091198,0.0003,-0.017945051193237305,430,201.00271606445312,-3.920559972524643,0.13250000290572644,0.008188793158042263,644.9602369308471,0.2,0.8951897025108337
1760,,,3514,0,31.328139110000002,3.35,44,,,,,,,,,,,
1800,4.0,-1.0075178146362305,,,,,,0.03194452,0.0003,-0.0037488937377929688,440,443.5130310058594,-3.9164209753274917,0.315000007674098,-0.03976739924983121,851.6014072418213,0.2,0.8947312831878662
1800,,,3553,0,33.88790556,3.43,45,,,,,,,,,,,
1840,5.0,15.452901363372803,,,,,,0.035100862,0.0003,0.011100709438323975,450,73.28370666503906,-3.910822269320488,0.2350000051781535,-0.01797765234077815,694.6181327819825,0.2,0.8923102617263794
1840,,,3595,0,31.702076549999997,3.4,46,,,,,,,,,,,
1880,3.0,8.48865795135498,,,,,,0.030764122,0.0003,0.00380021333694458,460,174.45269775390625,-3.904281535744667,0.3675000095739961,-0.03734533949700562,735.3157330036163,0.2,0.8906630277633667
1880,,,3740,0,29.884095490000004,3.44,47,,,,,,,,,,,
1920,5.0,82.24839687347412,,,,,,0.023032147,0.0003,0.09739279747009277,470,327.2578125,-3.898435252904892,0.37750000935047867,-0.03938707225479447,589.1676126480103,0.2,0.8888832926750183
1920,,,3827,0,32.031446069999994,3.5,48,,,,,,,,,,,
1960,1.0,-5.0,,,,,,0.02184149,0.0003,0.009451329708099365,480,770.556396484375,-3.8950435876846314,0.19500000458210706,-0.027706370754222,1131.6895262718201,0.2,0.8892847895622253
1960,,,3866,0,32.547881669999995,3.59,49,,,,,,,,,,,
2000,2.0,8.652548789978027,,,,,,0.0305262,0.0003,-0.017014503479003906,490,228.59632873535156,-3.894555684924126,0.31500000655651095,-0.037556808623339745,552.4707930088043,0.2,0.8893070220947266
2000,,,3962,0,35.26591698,3.7,50,,,,,,,,,,,
2040,5.0,96.72520446777344,,,,,,0.03138763,0.0003,0.04238629341125488,500,720.640380859375,-3.894393891096115,0.1875000039115548,-0.024122001897776534,915.4702689290046,0.2,0.8891603350639343
2040,,,4006,0,34.50877132000001,3.6,51,,,,,,,,,,,
2080,5.0,139.29372024536133,,,,,,0.030906253,0.0003,-0.0024896860122680664,510,157.0843505859375,-3.8872189193964006,0.23500000406056643,-0.029778110225452115,817.1184921264648,0.2,0.8855036497116089
2080,,,4114,0,38.17180758,3.7,52,,,,,,,,,,,
2120,5.0,68.65643501281738,,,,,,0.023686238,0.0003,0.09664511680603027,520,484.2093505859375,-3.8765030086040495,0.17500000335276128,-0.018900463566242254,1325.2064346313477,0.2,0.8837282657623291
2120,,,4152,0,40.95713003,3.86,53,,,,,,,,,,,
2160,5.0,100.10835933685303,,,,,,0.009914088,0.0003,0.14441007375717163,530,338.2898864746094,-3.8700922280550003,0.11000000163912774,-0.009054944099807472,522.0473009109497,0.2,0.8804747462272644
2160,,,4214,0,40.03531756,3.86,54,,,,,,,,,,,
