time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/entropy_loss,train/std,train/clip_fraction,train/approx_kl,train/clip_range,train/n_updates,train/loss
1480,2.0,-10.0,,,,,,-0.03376889228820801,-0.022584191261012167,3042.264394378662,0.0003,-4.094723027944565,0.948636531829834,0.3300000078976154,0.0332248,0.2,360,1152.49267578125
1480,,,2257,0,3.1,842.32675705,37,,,,,,,,,,,
1520,3.0,41.18835926055908,,,,,,-0.11873555183410645,-0.014742647590537672,7053.489596557617,0.0003,-4.093787115812302,0.9486570358276367,0.15500000286847354,0.00975662,0.2,370,3479.91845703125
1520,,,2334,0,3.01,835.31386843,38,,,,,,,,,,,
1560,5.0,127.86319732666016,,,,,,-0.055652737617492676,-0.0215218322166038,3980.630823516846,0.0003,-4.090891033411026,0.9466890096664429,0.2075000049546361,0.030937467,0.2,380,4376.76513671875
1560,,,2357,0,2.97,62.365620449999994,39,,,,,,,,,,,
1600,3.0,143.07999420166016,,,,,,-0.04693186283111572,-0.03940113879332785,5135.117571258545,0.0003,-4.087428063154221,0.9467487335205078,0.352500007674098,0.023318296,0.2,390,1573.88330078125
1600,,,2382,0,2.85,60.385417050000015,40,,,,,,,,,,,
1640,3.0,26.262577056884766,,,,,,-0.03419387340545654,-0.006683430298944604,3875.3209476470947,0.0003,-4.083506989479065,0.9444441199302673,0.16500000264495612,0.0069537372,0.2,400,4260.08642578125
1640,,,2404,0,2.96,60.89833711,41,,,,,,,,,,,
1680,5.0,128.41892623901367,,,,,,-0.0011477470397949219,-0.010202854631352242,2196.0574604034423,0.0003,-4.078395521640777,0.9440130591392517,0.18750000428408384,0.008998616,0.2,410,509.2565612792969
1680,,,2426,0,3.06,70.17336189999999,42,,,,,,,,,,,
1720,5.0,61.50329917669296,,,,,,-0.01272892951965332,-0.01581948318256764,9035.134869384765,0.0003,-4.077890855073929,0.9441752433776855,0.15000000316649675,0.018546509,0.2,420,2943.58447265625
1720,,,2451,0,3.04,67.80119568,43,,,,,,,,,,,
1760,2.0,35.205169677734375,,,,,,-0.006842970848083496,-0.029328586343181084,2725.367010116577,0.0003,-4.0793949365615845,0.946021318435669,0.3475000085309148,0.050932176,0.2,430,3372.602783203125
1760,,,2606,0,2.9,58.55558582,44,,,,,,,,,,,
1800,3.0,12.1490478515625,,,,,,-0.03973352909088135,-0.010930084943975094,1614.376901245117,0.0003,-4.0811442017555235,0.945473849773407,0.355000009201467,0.028978867,0.2,440,410.59735107421875
1800,,,2667,0,2.99,65.10936982,45,,,,,,,,,,,
1840,5.0,27.629756927490234,,,,,,-0.02294135093688965,-0.005217469120980245,6441.5245140075685,0.0003,-4.077027523517609,0.9439690113067627,0.3000000059604645,0.023549484,0.2,450,2618.0322265625
1840,,,2765,0,3.03,61.24235713000001,46,,,,,,,,,,,
1880,5.0,305.21922302246094,,,,,,-0.12379837036132812,0.004514126822468878,1792.4607730865478,0.0003,-4.0742276310920715,0.9434963464736938,0.15500000305473804,0.008489206,0.2,460,424.9659729003906
1880,,,2823,0,3.16,65.3808328,47,,,,,,,,,,,
1920,5.0,278.0757827758789,,,,,,0.03754544258117676,-0.010202289873195691,7509.832137870789,0.0003,-4.069775938987732,0.940900444984436,0.05500000100582838,0.004375118,0.2,470,1725.090576171875
1920,,,2849,0,3.13,63.08296702,48,,,,,,,,,,,
1960,5.0,80.2985110282898,,,,,,-0.14114785194396973,-0.012583855796533516,5623.600552368164,0.0003,-4.062200373411178,0.9402717351913452,0.20000000409781932,0.017568072,0.2,480,1082.280517578125
1960,,,2930,0,3.12,65.38116208,49,,,,,,,,,,,
2000,4.0,68.55780029296875,,,,,,0.02051645517349243,-0.028716673594026364,3470.699311065674,0.0003,-4.062366640567779,0.9399935603141785,0.4625000100582838,0.033767875,0.2,490,1338.580322265625
2000,,,2958,0,2.95,58.725183949999995,50,,,,,,,,,,,
2040,4.0,67.57468783855438,,,,,,-0.059973835945129395,-0.033003130294273444,4761.779734039306,0.0003,-4.058169883489609,0.9386067390441895,0.3000000059604645,0.034795664,0.2,500,530.4727783203125
2040,,,3013,0,2.89,58.81020998000001,51,,,,,,,,,,,
2080,5.0,244.6533088684082,,,,,,0.02323693037033081,-0.03234720713058774,2842.3400802612305,0.0003,-4.059573119878769,0.9410024881362915,0.25500000491738317,0.02562099,0.2,510,980.833740234375
2080,,,3034,0,3.0,66.81421044,52,,,,,,,,,,,
2120,5.0,229.98828125,,,,,,-0.033083558082580566,0.006862224229844283,8462.490097808837,0.0003,-4.065536296367645,0.9420989751815796,0.250000006146729,0.0071069375,0.2,520,9137.033203125
2120,,,3058,0,2.88,64.62898424,53,,,,,,,,,,,
2160,5.0,272.97496795654297,,,,,,-0.008773446083068848,-0.02095610235453931,4281.239566040039,0.0003,-4.069521731138229,0.944286048412323,0.19750000406056642,0.014794353,0.2,530,1234.1292724609375
2160,,,3081,0,2.82,65.74632636,54,,,,,,,,,,,
2200,4.0,38.65248489379883,,,,,,-0.07112443447113037,-0.005433414373837886,3832.1542505264283,0.0003,-4.0689110398292545,0.9426923990249634,0.27750000506639483,0.028654858,0.2,540,816.2384033203125
2200,,,3104,0,2.87,70.4062141,55,,,,,,,,,,,
2240,5.0,140.69082355499268,,,,,,-0.005488872528076172,-0.012195744446289614,7953.771560668945,0.0003,-4.063619440793991,0.9410245418548584,0.32750000786036254,0.01847897,0.2,550,6711.87353515625
2240,,,3173,0,2.71,63.41780429000001,56,,,,,,,,,,,
2280,3.0,86.96079635620117,,,,,,-0.03546786308288574,-0.00783839090850975,4262.561441040039,0.0003,-4.054570549726487,0.936659574508667,0.10000000149011612,0.010919687,0.2,560,1129.2498779296875
2280,,,3194,0,2.92,71.60578308,57,,,,,,,,,,,
2320,5.0,153.24684715270996,,,,,,-0.013442635536193848,-0.014740261144761457,5167.900296401977,0.0003,-4.043543964624405,0.9357954263687134,0.2525000059977174,0.03903083,0.2,570,887.744384765625
2320,,,3277,0,2.88,70.03412512999998,58,,,,,,,,,,,
2360,5.0,118.55428314208984,,,,,,-0.03588509559631348,-0.01913835260347696,3885.1256362915037,0.0003,-4.043113511800766,0.9360958933830261,0.4400000099092722,0.045876272,0.2,580,3316.230712890625
2360,,,3357,0,2.84,64.39482068000001,59,,,,,,,,,,,
2400,3.0,77.36376190185547,,,,,,0.025718510150909424,-0.026950656428816732,2695.214028930664,0.0003,-4.039098644256592,0.9345029592514038,0.3175000075250864,0.016529188,0.2,590,604.0408935546875
2400,,,3428,0,2.97,66.85973256,60,,,,,,,,,,,
2440,5.0,128.0462589263916,,,,,,0.06573575735092163,-0.028580446310152174,3265.439924621582,0.0003,-4.033303999900818,0.9320262670516968,0.35000000819563865,0.0322381,0.2,600,710.7753295898438
2440,,,3451,0,3.07,70.30611563000001,61,,,,,,,,,,,
2480,3.0,82.82693862915039,,,,,,-0.04465162754058838,-0.03519531404745067,3618.484415245056,0.0003,-4.026957923173905,0.9309951066970825,0.31250000689178703,0.033644937,0.2,610,99.670654296875
2480,,,3474,0,3.06,64.6491978,62,,,,,,,,,,,
2520,3.0,91.3703498840332,,,,,,-0.12034928798675537,-0.0312877230727463,3011.5136811256407,0.0003,-4.023537766933441,0.9292654991149902,0.44500001054257154,0.056512855,0.2,620,1166.8385009765625
2520,,,3579,0,3.02,62.16149600999999,63,,,,,,,,,,,
2560,1.0,-5.0,,,,,,-0.047153353691101074,0.01957918800995685,2572.974065208435,0.0003,-4.014897394180298,0.9276623129844666,0.49500001035630703,0.035711333,0.2,630,1263.86181640625
2560,,,3602,0,2.94,57.977633989999994,64,,,,,,,,,,,
2600,2.0,-6.306849360466003,,,,,,0.05621492862701416,-0.01682535247746273,1994.8227195739746,0.0003,-4.008055484294891,0.9248008728027344,0.24000000413507222,0.022011891,0.2,640,1638.3829345703125
2600,,,3673,0,2.97,62.5989003,65,,,,,,,,,,,
2640,2.0,42.2044563293457,,,,,,6.437301635742188e-05,-0.023231217174998164,10010.500935363769,0.0003,-4.000896227359772,0.9237661361694336,0.12500000298023223,0.015618501,0.2,650,9028.7451171875
2640,,,3778,0,2.95,65.30955824,66,,,,,,,,,,,
2680,5.0,174.93730926513672,,,,,,-0.04607975482940674,-0.03178688587748182,5935.367147827148,0.0003,-3.9944484651088716,0.9209675192832947,0.17500000353902578,0.0164454,0.2,660,2388.83203125
2680,,,3829,0,2.89,65.06380573999999,67,,,,,,,,,,,
2720,5.0,191.95762014389038,,,,,,-0.05385124683380127,-0.016974652005883394,4227.692652893066,0.0003,-3.984793338179588,0.9179856181144714,0.18500000312924386,0.018943137,0.2,670,2323.22021484375
2720,,,3853,0,2.8,60.86428730000001,68,,,,,,,,,,,
2760,5.0,158.95753383636475,,,,,,0.04241746664047241,-0.002673634140228387,2384.4165019989014,0.0003,-3.9773641407489775,0.9173280596733093,0.17250000331550835,0.021880906,0.2,680,1505.04345703125
2760,,,3878,0,2.8,67.7640036,69,,,,,,,,,,,
2800,1.0,-5.0,,,,,,-0.08637058734893799,-0.01025199118303135,8811.590177154541,0.0003,-3.973431670665741,0.9161561727523804,0.3100000062957406,0.030387718,0.2,690,1811.077392578125
2800,,,3911,0,2.71,68.2194019,70,,,,,,,,,,,
2840,5.0,256.60019874572754,,,,,,-0.18134033679962158,-0.008958850125200113,3857.1036010742187,0.0003,-3.972058889269829,0.9165091514587402,0.25750000551342966,0.026165344,0.2,700,2702.813232421875
2840,,,3933,0,2.87,76.655806,71,,,,,,,,,,,
2880,5.0,248.66470909118652,,,,,,-0.017255783081054688,-0.009344670512655284,6864.564567947387,0.0003,-3.9713516026735305,0.9150681495666504,0.2025000037625432,0.017823707,0.2,710,2156.646240234375
2880,,,3959,0,2.85,74.20061256,72,,,,,,,,,,,
2920,1.0,-5.0,,,,,,0.0005428791046142578,-0.005827632889267997,4595.723342895508,0.0003,-3.9672775834798815,0.914034366607666,0.09000000152736902,0.0057124333,0.2,720,2079.428466796875
2920,,,3984,0,2.77,69.42889926,73,,,,,,,,,,,
2960,2.0,15.400768280029297,,,,,,-0.023018836975097656,-0.008795374719629833,2859.9246994018554,0.0003,-3.9604190438985825,0.9124972224235535,0.15750000327825547,0.014033796,0.2,730,1171.1990966796875
