eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/std,train/approx_kl,train/loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss
8.0,8800,1093.266674041748,,,,,,,,,,,,,,,,
9.0,8900,1284.7426147460938,,,,,,,,,,,,,,,,
,8960,,10816,28,6.52,0,623.4749619700001,,,,,,,,,,,
7.0,9000,682.3711204528809,,,,,,0.9572440385818481,0.015214453,265745.84375,280,0.0003,-0.012579708223029229,0.2,0.11250000151339919,-0.01204538345336914,347397.1461425781,-4.127831315994262
12.0,9100,997.2285995483398,,,,,,,,,,,,,,,,
12.0,9200,1556.1207962036133,,,,,,,,,,,,,,,,
,9280,,11526,29,5.86,0,532.99681388,,,,,,,,,,,
16.0,9300,2215.300235748291,,,,,,0.9537882208824158,0.018792525,168413.8125,290,0.0003,-0.01603370931466088,0.2,0.14750000254716725,-0.04852139949798584,288867.8697265625,-4.119445702433586
8.0,9400,655.9705505371094,,,,,,,,,,,,,,,,
20.0,9500,2524.0805683135986,,,,,,,,,,,,,,,,
5.0,9600,173.31048727035522,,,,,,,,,,,,,,,,
,9600,,12480,30,6.86,0,621.7882269099999,,,,,,,,,,,
3.0,9700,233.2198944091797,,,,,,0.9515502452850342,0.009670507,246477.71875,300,0.0003,-0.013588008283704767,0.2,0.11750000212341546,-0.021752476692199707,375305.4932617188,-4.1103655904531475
13.0,9800,1541.0151748657227,,,,,,,,,,,,,,,,
18.0,9900,1589.2126007080078,,,,,,,,,,,,,,,,
,9920,,13032,31,7.49,0,763.29717226,,,,,,,,,,,
14.0,10000,1783.0240726470947,,,,,,0.9509220123291016,0.015278345,217478.25,310,0.0003,-0.00516303204592532,0.2,0.061875001061707735,0.01042264699935913,402073.9869140625,-4.105421197414398
20.0,10100,3177.457321166992,,,,,,,,,,,,,,,,
3.0,10200,202.41484832763672,,,,,,,,,,,,,,,,
,10240,,13190,32,7.75,0,802.58026246,,,,,,,,,,,
7.0,10300,488.36767387390137,,,,,,0.9511401653289795,0.0079192035,257868.84375,320,0.0003,-0.011046629267411845,0.2,0.08531250152736902,-0.04166746139526367,372210.2431640625,-4.105108472704887
3.0,10400,131.88994598388672,,,,,,,,,,,,,,,,
20.0,10500,2405.6831436157227,,,,,,,,,,,,,,,,
,10560,,13371,33,7.39,0,760.76852408,,,,,,,,,,,
14.0,10600,1881.5982475280762,,,,,,0.9498759508132935,0.005793344,90519.40625,330,0.0003,-0.0024098873737102623,0.2,0.029062500526197254,-0.028464555740356445,389789.319921875,-4.103622010350227
6.0,10700,189.78362464904785,,,,,,,,,,,,,,,,
9.0,10800,1217.9424285888672,,,,,,,,,,,,,,,,
,10880,,13553,34,7.52,0,785.6111607799999,,,,,,,,,,,
4.0,10900,165.7162799835205,,,,,,0.9482261538505554,0.007877655,198437.875,340,0.0003,-0.011106802630092717,0.2,0.10656250228639692,-0.06240415573120117,385370.8810546875,-4.098707666993141
7.0,11000,748.7732086181641,,,,,,,,,,,,,,,,
13.0,11100,1574.5258135795593,,,,,,,,,,,,,,,,
20.0,11200,2596.0931282043457,,,,,,,,,,,,,,,,
,11200,,13754,35,6.79,0,687.4053678700001,,,,,,,,,,,
15.0,11300,1382.5937767028809,,,,,,0.9438595175743103,0.008611337,201783.3125,350,0.0003,-0.0019294136272151262,0.2,0.03437500062864274,0.020145714282989502,370291.6358398438,-4.090058168768882
11.0,11400,1203.7622909545898,,,,,,,,,,,,,,,,
14.0,11500,1845.3466033935547,,,,,,,,,,,,,,,,
,11520,,14019,36,6.87,0,739.3844439100001,,,,,,,,,,,
20.0,11600,2920.143524169922,,,,,,0.9419419765472412,0.018265761,381473.90625,360,0.0003,-0.009938085870817303,0.2,0.12718750273343177,-0.027405142784118652,513807.777734375,-4.079950726032257
10.0,11700,1000.1736106872559,,,,,,,,,,,,,,,,
7.0,11800,657.7470741271973,,,,,,,,,,,,,,,,
,11840,,14207,37,7.82,0,859.76243721,,,,,,,,,,,
20.0,11900,3155.6974754333496,,,,,,0.9392207860946655,0.0112126935,234528.828125,370,0.0003,-0.007040208913167589,0.2,0.06968750138767063,-0.02466261386871338,434484.040625,-4.072916153073311
4.0,12000,206.96191883087158,,,,,,,,,,,,,,,,
7.0,12100,598.0117568969727,,,,,,,,,,,,,,,,
,12160,,14333,38,7.76,0,862.69409075,,,,,,,,,,,
17.0,12200,2716.294204711914,,,,,,0.9363020658493042,0.0039915647,229480.96875,380,0.0003,-0.00464052920276572,0.2,0.06156250105705112,-0.0067212581634521484,500215.6533203125,-4.062595760822296
12.0,12300,1408.216464996338,,,,,,,,,,,,,,,,
20.0,12400,2291.7851600646973,,,,,,,,,,,,,,,,
,12480,,14498,39,7.02,0,755.3341243600001,,,,,,,,,,,
9.0,12500,980.5692901611328,,,,,,0.9343732595443726,0.0097524095,218130.625,390,0.0003,-0.012636395748268114,0.2,0.12875000245403498,-0.1345137357711792,385117.46611328126,-4.054933843016625
20.0,12600,1614.2573111057281,,,,,,,,,,,,,,,,
20.0,12700,2862.9964447021484,,,,,,,,,,,,,,,,
20.0,12800,2409.503469467163,,,,,,,,,,,,,,,,
,12800,,14658,40,7.86,0,851.8099923,,,,,,,,,,,
11.0,12900,1355.880027770996,,,,,,0.9318467974662781,0.0033789882,128218.609375,400,0.0003,-0.0008741652252957976,0.2,0.049062501080334185,0.01777195930480957,461322.0418945312,-4.047364813089371
12.0,13000,1739.522575378418,,,,,,,,,,,,,,,,
12.0,13100,1082.0685005187988,,,,,,,,,,,,,,,,
,13120,,14871,41,8.18,0,903.6700108099999,,,,,,,,,,,
