time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/value_loss
5760,291.48602995,18,2445,2,10.13,0.2,0.9490139484405518,-4.097217756509781,-0.0027207584203756572,-0.0483623743057251,0.0003,0.0022804816,15664.7451171875,0.07875000173225999,170,29884.950146484374
6080,304.61333082,19,2586,2,10.7,0.2,0.9512941241264343,-4.1033146440982815,-0.009661541299616374,-0.010252714157104492,0.0003,0.013904612,16281.9697265625,0.1481250027194619,180,20847.059899902342
6400,283.41302625000003,20,2650,2,10.29,0.2,0.9573196172714233,-4.115039429068565,-0.0030876029950195503,-0.04939424991607666,0.0003,0.009088381,7763.421875,0.0906250020256266,190,19813.955676269532
6720,302.3045587099999,21,2760,2,10.66,0.2,0.9551141262054443,-4.121899482607842,-0.007285193016869007,-0.071677565574646,0.0003,0.010821942,9112.5693359375,0.04750000073108822,200,23914.00693359375
7040,297.60356047,22,2825,2,9.95,0.2,0.9555996656417847,-4.119442358613014,-0.00692313769233806,-0.07218635082244873,0.0003,0.005400366,5866.1650390625,0.08500000163912773,210,30403.3303894043
7360,310.01388643,23,2926,2,10.33,0.2,0.9478038549423218,-4.110350862145424,-0.002955193545203655,-0.1621612310409546,0.0003,0.02601352,11111.806640625,0.15093750292435287,220,28456.137634277344
7680,296.30382005,24,2988,2,10.01,0.2,0.9452711939811707,-4.089768418669701,0.007960622012506063,-0.07929575443267822,0.0003,0.009454507,13942.3544921875,0.2162500034319237,230,24103.489318847656
8000,282.53878046,25,3052,2,10.23,0.2,0.9476557970046997,-4.091216784715653,-0.0028018195051640717,-0.08799505233764648,0.0003,0.008095563,6773.68017578125,0.17812500342261045,240,23600.70684814453
8320,266.4320037,26,3163,2,9.86,0.2,0.9437877535820007,-4.088262546062469,-0.001266692379117558,-0.12968838214874268,0.0003,0.0144818425,13091.490234375,0.10031250179745257,250,21446.44482421875
8640,270.23611784999997,27,3282,2,10.65,0.2,0.9368581771850586,-4.06993838250637,-0.008093008350924724,-0.08063888549804688,0.0003,0.022514518,11369.841796875,0.17937500348780305,260,22857.271643066408
